Taxon,UTM10x10,UTM1x1,References
Rucus aculeatus,29TNH14,29TNH1246,"González-Martínez, X. I., Boullón-Agrelo, C., & Calvo-Vázquez, J. (2021). Contribución al conocimiento de la pteridoflora de Galicia (NW Península Ibérica). Botanica Complutensis, 45, 1-9.. https://dx.doi.org/10.5209/bocm.72975"
Arrhenaterum longifolium,29TPG37,29TPG3274,"González-Martínez, X. I., Boullón-Agrelo, C., Calvo-Vázquez, J., & Rodríguez-Leal, S. (2021). Nuevas aportaciones al conocimiento de la flora vascular de Galicia (España). Acta Botanica Malacitana, 46, 135-141.. https://doi.org/10.24310/abm.v46i.12151"
Allium sphaerocephalum,29TMH90,29TMH9708,"González-Martínez, X. I., Boullón-Agrelo, C., Calvo-Vázquez, J., & Rodríguez-Leal, S. (2021). Nuevas aportaciones al conocimiento de la flora vascular de Galicia (España). Acta Botanica Malacitana, 46, 135-141.. https://doi.org/10.24310/abm.v46i.12180"
Leptogramma pozoi,29TNH58,29TNH5289,"Martínez-Veiga, E. & Buján-Rodríguez, I. (2023). Nuevas citas de helechos escasos en Galicia. Nova Acta Científica Compostelana, 30. 1-11.. https://doi.org/10.15304/nacc.id9057"
