Taxon,Scientific_Name,Endemic,Genus,Species,Subspecies,Class,Order,Family,GBIF_id,POW_Name
Abies alba,Abies alba Mill.,FALSE,Abies,alba,NA,Pinopsida,Pinales,Pinaceae,2685484,
Abies pinsapo,Abies pinsapo Boiss.,TRUE,Abies,pinsapo,NA,Pinopsida,Pinales,Pinaceae,2685464,
Acer campestre,Acer campestre L.,FALSE,Acer,campestre,NA,Magnoliopsida,Sapindales,Sapindaceae,3189863,
Acer monspessulanum monspessulanum,Acer monspessulanum monspessulanum L.,FALSE,Acer,monspessulanum,monspessulanum,Magnoliopsida,Sapindales,Sapindaceae,7262958,
Acer opalus granatense,Acer opalus granatense (Boiss.) Font Quer & Rothm.,FALSE,Acer,opalus,granatense,Magnoliopsida,Sapindales,Sapindaceae,7263115,
Acer opalus opalus,Acer opalus opalus Mill.,FALSE,Acer,opalus,opalus,Magnoliopsida,Sapindales,Sapindaceae,7100278,
Acer platanoides,Acer platanoides L.,FALSE,Acer,platanoides,NA,Magnoliopsida,Sapindales,Sapindaceae,3189846,
Acer pseudoplatanus,Acer pseudoplatanus L.,FALSE,Acer,pseudoplatanus,NA,Magnoliopsida,Sapindales,Sapindaceae,3189870,
Aceras anthropophorum,Aceras anthropophorum (L.) W.T. Aiton,FALSE,Aceras,anthropophorum,NA,Magnoliopsida,Asparagales,Orchidaceae,2849624,
Achillea ageratum,Achillea ageratum L.,FALSE,Achillea,ageratum,NA,Magnoliopsida,Asterales,Asteraceae,3120391,
Achillea ceretanica,Achillea ceretanica (Sennen) I.Soriano,TRUE,Achillea,ceretanica,NA,Magnoliopsida,Asterales,Asteraceae,9544507,
Achillea chamaemelifolia,Achillea chamaemelifolia Pourr.,TRUE,Achillea,chamaemelifolia,NA,Magnoliopsida,Asterales,Asteraceae,3120253,
Achillea millefolium,Achillea millefolium L.,FALSE,Achillea,millefolium,NA,Magnoliopsida,Asterales,Asteraceae,3120060,
Achillea odorata,Achillea odorata L.,FALSE,Achillea,odorata,NA,Magnoliopsida,Asterales,Asteraceae,7674113,
Achillea pyrenaica,Achillea pyrenaica Sibth. ex Godr.,FALSE,Achillea,pyrenaica,NA,Magnoliopsida,Asterales,Asteraceae,8011422,
Achillea santolinoides,Achillea santolinoides Lag.,FALSE,Achillea,santolinoides,NA,Magnoliopsida,Asterales,Asteraceae,3120235,
Achillea tomentosa,Achillea tomentosa L.,FALSE,Achillea,tomentosa,NA,Magnoliopsida,Asterales,Asteraceae,7787053,
Achnatherum bromoides,Achnatherum bromoides (L.) P.Beauv.,FALSE,Achnatherum,bromoides,NA,Magnoliopsida,Poales,Poaceae,4142335,
Achnatherum calamagrostis,Achnatherum calamagrostis P.Beauv.,FALSE,Achnatherum,calamagrostis,NA,Magnoliopsida,Poales,Poaceae,4142326,
Achyrophorus rutea,Achyrophorus rutea (Talavera) Talavera,FALSE,Achyrophorus,rutea,NA,Magnoliopsida,Asterales,Asteraceae,10783402,
Achyrophorus stuessyi,"Achyrophorus stuessyi F.J.Jiménez, M.Ángeles & M.Talavera",FALSE,Achyrophorus,stuessyi,NA,Magnoliopsida,Asterales,Asteraceae,10716299,
Achyrophorus valdesii,"Achyrophorus valdesii F.J.Jiménez, M.Ángeles & M.Talavera",FALSE,Achyrophorus,valdesii,NA,Magnoliopsida,Asterales,Asteraceae,10767432,
Acinos alpinus,Acinos alpinus (L.) Moench,FALSE,Acinos,alpinus,NA,Magnoliopsida,Lamiales,Lamiaceae,7307319,
Acinos arvensis,Acinos arvensis (Lam.) Dandy,FALSE,Acinos,arvensis,NA,Magnoliopsida,Lamiales,Lamiaceae,2927118,
Acinos rotundifolius,Acinos rotundifolius Pers.,FALSE,Acinos,rotundifolius,NA,Magnoliopsida,Lamiales,Lamiaceae,7307136,
Aconitum anthora,Aconitum anthora L.,FALSE,Aconitum,anthora,NA,Magnoliopsida,Ranunculales,Ranunculaceae,3033670,
Aconitum burnatii,Aconitum burnatii Gáyer,FALSE,Aconitum,burnatii,NA,Magnoliopsida,Ranunculales,Ranunculaceae,8189059,
Aconitum napellus castellanum,Aconitum napellus castellanum Molero & C. Blanché,TRUE,Aconitum,napellus,castellanum,Magnoliopsida,Ranunculales,Ranunculaceae,11675039,
Aconitum napellus lusitanicum,Aconitum napellus lusitanicum Rouy,FALSE,Aconitum,napellus,lusitanicum,Magnoliopsida,Ranunculales,Ranunculaceae,3033665,
Aconitum napellus vulgare,Aconitum napellus vulgare Rouy & Foucaud,FALSE,Aconitum,napellus,vulgare,Magnoliopsida,Ranunculales,Ranunculaceae,3033665,
Aconitum variegatum pyrenaicum,Aconitum variegatum pyrenaicum Vivant & Delay,TRUE,Aconitum,variegatum,pyrenaicum,Magnoliopsida,Ranunculales,Ranunculaceae,11418923,
Aconitum vulparia neapolitanum,Aconitum vulparia neapolitanum (Ten.) Muñoz Garm.,FALSE,Aconitum,vulparia,neapolitanum,Magnoliopsida,Ranunculales,Ranunculaceae,3033675,
Actaea spicata,Actaea spicata L.,FALSE,Actaea,spicata,NA,Magnoliopsida,Ranunculales,Ranunculaceae,5371473,
Adenocarpus anisochilus,Adenocarpus anisochilus Boiss.,TRUE,Adenocarpus,anisochilus,NA,Magnoliopsida,Fabales,Fabaceae,2951633,
Adenocarpus argyrophyllus,Adenocarpus argyrophyllus (Rivas Goday) Caball.,TRUE,Adenocarpus,argyrophyllus,NA,Magnoliopsida,Fabales,Fabaceae,2951636,
Adenocarpus aureus,Adenocarpus aureus (Cav.) Pau,TRUE,Adenocarpus,aureus,NA,Magnoliopsida,Fabales,Fabaceae,2951647,
Adenocarpus complicatus,Adenocarpus complicatus (L.) J. Gay,FALSE,Adenocarpus,complicatus,NA,Magnoliopsida,Fabales,Fabaceae,2951647,
Adenocarpus decorticans,Adenocarpus decorticans Boiss.,FALSE,Adenocarpus,decorticans,NA,Magnoliopsida,Fabales,Fabaceae,2951626,
Adenocarpus desertorum,Adenocarpus desertorum Castrov.,TRUE,Adenocarpus,desertorum,NA,Magnoliopsida,Fabales,Fabaceae,3970595,
Adenocarpus gibbsianus,Adenocarpus gibbsianus Castrov. & Talavera,TRUE,Adenocarpus,gibbsianus,NA,Magnoliopsida,Fabales,Fabaceae,2951647,
Adenocarpus hispanicus,Adenocarpus hispanicus (Lam.) DC.,TRUE,Adenocarpus,hispanicus,NA,Magnoliopsida,Fabales,Fabaceae,2951633,
Adenocarpus lainzii,Adenocarpus lainzii (Castrov.) Castrov.,TRUE,Adenocarpus,lainzii,NA,Magnoliopsida,Fabales,Fabaceae,2951647,
Adenocarpus telonensis,Adenocarpus telonensis (Loisel.) DC.,FALSE,Adenocarpus,telonensis,NA,Magnoliopsida,Fabales,Fabaceae,2951631,
Adenostyles alliariae,Adenostyles alliariae (Gouan) Kern.,FALSE,Adenostyles,alliariae,NA,Magnoliopsida,Asterales,Asteraceae,3133702,
Adenostyles alpina pyrenaica,Adenostyles alpina pyrenaica (Lange) Dillenb. & Kadereit,TRUE,Adenostyles,alpina,pyrenaica,Magnoliopsida,Asterales,Asteraceae,3133705,
Adiantum capillus-veneris,Adiantum capillus-veneris L.,FALSE,Adiantum,capillus-veneris,NA,Polypodiopsida,Polypodiales,Pteridaceae,2651816,
Adonis aestivalis aestivalis,Adonis aestivalis aestivalis L.,FALSE,Adonis,aestivalis,aestivalis,Magnoliopsida,Ranunculales,Ranunculaceae,5371707,
Adonis aestivalis squarrosa,Adonis aestivalis squarrosa (Steven) Nyman,FALSE,Adonis,aestivalis,squarrosa,Magnoliopsida,Ranunculales,Ranunculaceae,5371707,
Adonis annua,Adonis annua L.,FALSE,Adonis,annua,NA,Magnoliopsida,Ranunculales,Ranunculaceae,5371709,
Adonis flammea,Adonis flammea Jacq.,FALSE,Adonis,flammea,NA,Magnoliopsida,Ranunculales,Ranunculaceae,8246651,
Adonis microcarpa,Adonis microcarpa DC.,FALSE,Adonis,microcarpa,NA,Magnoliopsida,Ranunculales,Ranunculaceae,5616463,
Adonis pyrenaica,Adonis pyrenaica DC.,FALSE,Adonis,pyrenaica,NA,Magnoliopsida,Ranunculales,Ranunculaceae,8158904,
Adonis vernalis,Adonis vernalis L.,FALSE,Adonis,vernalis,NA,Magnoliopsida,Ranunculales,Ranunculaceae,5371711,
Aegilops biuncialis,Aegilops biuncialis Vis.,FALSE,Aegilops,biuncialis,NA,Magnoliopsida,Poales,Poaceae,5289796,
Aegilops geniculata,Aegilops geniculata Roth,FALSE,Aegilops,geniculata,NA,Magnoliopsida,Poales,Poaceae,5289781,
Aegilops neglecta,Aegilops neglecta Req. ex Bertol.,FALSE,Aegilops,neglecta,NA,Magnoliopsida,Poales,Poaceae,4138080,
Aegilops triuncialis,Aegilops triuncialis L.,FALSE,Aegilops,triuncialis,NA,Magnoliopsida,Poales,Poaceae,5289793,
Aegilops ventricosa,Aegilops ventricosa Tausch,FALSE,Aegilops,ventricosa,NA,Magnoliopsida,Poales,Poaceae,5289791,
Aegonychon gastoni,Aegonychon gastoni (Benth.) J. Holub,TRUE,Aegonychon,gastoni,NA,Magnoliopsida,Boraginales,Boraginaceae,8144477,
Aegonychon purpurocaeruleum,Aegonychon purpurocaeruleum (L.) J. Holub,FALSE,Aegonychon,purpurocaeruleum,NA,Magnoliopsida,Boraginales,Boraginaceae,4063960,
Aegopodium podagraria,Aegopodium podagraria L.,FALSE,Aegopodium,podagraria,NA,Magnoliopsida,Apiales,Apiaceae,3034620,
Aeluropus littoralis,Aeluropus littoralis (Gouan) Parl.,FALSE,Aeluropus,littoralis,NA,Magnoliopsida,Poales,Poaceae,4136390,
Aethionema marginatum,Aethionema marginatum (Lapeyr.) Montemurro,FALSE,Aethionema,marginatum,NA,Magnoliopsida,Brassicales,Brassicaceae,7870683,
Aethionema monospermum,Aethionema monospermum R. Br.,TRUE,Aethionema,monospermum,NA,Magnoliopsida,Brassicales,Brassicaceae,7870683,
Aethionema saxatile,Aethionema saxatile (L.) R. Br.,FALSE,Aethionema,saxatile,NA,Magnoliopsida,Brassicales,Brassicaceae,7870683,
Aethionema thomasianum,Aethionema thomasianum J. Gay,FALSE,Aethionema,thomasianum,NA,Magnoliopsida,Brassicales,Brassicaceae,3051121,
Aethusa cynapium cynapium,Aethusa cynapium cynapium L.,FALSE,Aethusa,cynapium,cynapium,Magnoliopsida,Apiales,Apiaceae,5371825,
Agrimonia eupatoria eupatoria,Agrimonia eupatoria eupatoria L.,FALSE,Agrimonia,eupatoria,eupatoria,Magnoliopsida,Rosales,Rosaceae,3001956,
Agrimonia eupatoria grandis,Agrimonia eupatoria grandis (Andrz. ex Asch. & Graebn.) Bornm.,FALSE,Agrimonia,eupatoria,grandis,Magnoliopsida,Rosales,Rosaceae,3001956,
Agrimonia procera,Agrimonia procera Wallr.,FALSE,Agrimonia,procera,NA,Magnoliopsida,Rosales,Rosaceae,3002121,
Agropyron cristatum,Agropyron cristatum (L.) Gaertn.,FALSE,Agropyron,cristatum,NA,Magnoliopsida,Poales,Poaceae,2705196,
Agrostis alpina,Agrostis alpina Scop.,FALSE,Agrostis,alpina,NA,Magnoliopsida,Poales,Poaceae,10861153,
Agrostis barceloi,Agrostis barceloi L. Sáez & Rosselló,TRUE,Agrostis,barceloi,NA,Magnoliopsida,Poales,Poaceae,10794271,
Agrostis canina canina,Agrostis canina canina L.,FALSE,Agrostis,canina,canina,Magnoliopsida,Poales,Poaceae,2706465,
Agrostis canina granatensis,"Agrostis canina granatensis Romero García, Blanca & C.Morales",TRUE,Agrostis,canina,granatensis,Magnoliopsida,Poales,Poaceae,2706465,
Agrostis capillaris,Agrostis capillaris L.,FALSE,Agrostis,capillaris,NA,Magnoliopsida,Poales,Poaceae,2706490,
Agrostis castellana,Agrostis castellana Boiss. & Reut.,FALSE,Agrostis,castellana,NA,Magnoliopsida,Poales,Poaceae,2706501,
Agrostis curtisii,Agrostis curtisii Kerguélen,FALSE,Agrostis,curtisii,NA,Magnoliopsida,Poales,Poaceae,10762826,
Agrostis gigantea,Agrostis gigantea Roth,FALSE,Agrostis,gigantea,NA,Magnoliopsida,Poales,Poaceae,2706541,
Agrostis hesperica,"Agrostis hesperica Romero García, Blanca & C.Morales",TRUE,Agrostis,hesperica,NA,Magnoliopsida,Poales,Poaceae,4122278,
Agrostis nevadensis,Agrostis nevadensis Boiss.,FALSE,Agrostis,nevadensis,NA,Magnoliopsida,Poales,Poaceae,4119379,
Agrostis rupestris,Agrostis rupestris All.,FALSE,Agrostis,rupestris,NA,Magnoliopsida,Poales,Poaceae,2706525,
Agrostis schleicheri,Agrostis schleicheri Jord. & Verl.,FALSE,Agrostis,schleicheri,NA,Magnoliopsida,Poales,Poaceae,10829879,
Agrostis schraderiana,Agrostis schraderiana Bech.,FALSE,Agrostis,schraderiana,NA,Magnoliopsida,Poales,Poaceae,4116886,
Agrostis stolonifera,Agrostis stolonifera L.,FALSE,Agrostis,stolonifera,NA,Magnoliopsida,Poales,Poaceae,2706435,
Agrostis tileni,Agrostis tileni Nieto Fel. & Castrov.,TRUE,Agrostis,tileni,NA,Magnoliopsida,Poales,Poaceae,4115099,
Aira caryophyllea caryophyllea,Aira caryophyllea caryophyllea L.,FALSE,Aira,caryophyllea,caryophyllea,Magnoliopsida,Poales,Poaceae,7747216,
Aira caryophyllea multiculmis,Aira caryophyllea multiculmis (Dumort.) Bonnier & Layens,FALSE,Aira,caryophyllea,multiculmis,Magnoliopsida,Poales,Poaceae,7747216,
Aira cupaniana,Aira cupaniana Guss.,FALSE,Aira,cupaniana,NA,Magnoliopsida,Poales,Poaceae,5673288,
Aira elegans,Aira elegans Roem. & Schult,FALSE,Aira,elegans,NA,Magnoliopsida,Poales,Poaceae,7948459,
Aira hercynica,"Aira hercynica Romero Zarco, M.A.Ortiz & L.Sáez",TRUE,Aira,hercynica,NA,Magnoliopsida,Poales,Poaceae,12199967,
Aira minoricensis,"Aira minoricensis P.Fraga, Romero Zarco & L.Sáez",TRUE,Aira,minoricensis,NA,Magnoliopsida,Poales,Poaceae,12226568,
Aira praecox,Aira praecox L.,FALSE,Aira,praecox,NA,Magnoliopsida,Poales,Poaceae,5289582,
Aira tenorei,Aira tenorei Guss.,FALSE,Aira,tenorei,NA,Magnoliopsida,Poales,Poaceae,5672876,
Aira uniaristata,Aira uniaristata Lag. & Rodr.,FALSE,Aira,uniaristata,NA,Magnoliopsida,Poales,Poaceae,7365693,
Airopsis tenella,Airopsis tenella Coss. & Durieu,FALSE,Airopsis,tenella,NA,Magnoliopsida,Poales,Poaceae,4109694,
Aizoon hispanicum,Aizoon hispanicum L.,FALSE,Aizoon,hispanicum,NA,Magnoliopsida,Caryophyllales,Aizoaceae,9819723,
Ajuga chamaepitys,Ajuga chamaepitys (L.) Schreb.,FALSE,Ajuga,chamaepitys,NA,Magnoliopsida,Lamiales,Lamiaceae,2927080,
Ajuga iva,Ajuga iva (L.) Schreb.,FALSE,Ajuga,iva,NA,Magnoliopsida,Lamiales,Lamiaceae,7307171,
Ajuga pyramidalis meonantha,Ajuga pyramidalis meonantha (Hoffmanns. & Link) R. Fern.,FALSE,Ajuga,pyramidalis,meonantha,Magnoliopsida,Lamiales,Lamiaceae,8429926,
Ajuga pyramidalis pyramidalis,Ajuga pyramidalis pyramidalis L.,FALSE,Ajuga,pyramidalis,pyramidalis,Magnoliopsida,Lamiales,Lamiaceae,8429926,
Ajuga reptans,Ajuga reptans L.,FALSE,Ajuga,reptans,NA,Magnoliopsida,Lamiales,Lamiaceae,2927078,
Alchemilla acutiformis,Alchemilla acutiformis S.E. Fröhner,TRUE,Alchemilla,acutiformis,NA,Magnoliopsida,Rosales,Rosaceae,3027471,
Alchemilla albinervia,Alchemilla albinervia S.E. Fröhner,TRUE,Alchemilla,albinervia,NA,Magnoliopsida,Rosales,Rosaceae,3028558,
Alchemilla alpigena,Alchemilla alpigena Buser ex Hegi,FALSE,Alchemilla,alpigena,NA,Magnoliopsida,Rosales,Rosaceae,3027980,
Alchemilla alpina,Alchemilla alpina L.,FALSE,Alchemilla,alpina,NA,Magnoliopsida,Rosales,Rosaceae,3027648,
Alchemilla amphisericea,Alchemilla amphisericea Buser,FALSE,Alchemilla,amphisericea,NA,Magnoliopsida,Rosales,Rosaceae,8371635,
Alchemilla angustata,Alchemilla angustata S.E.Fröhner,TRUE,Alchemilla,angustata,NA,Magnoliopsida,Rosales,Rosaceae,3028820,
Alchemilla angustiserrata,Alchemilla angustiserrata S.E. Fröhner,TRUE,Alchemilla,angustiserrata,NA,Magnoliopsida,Rosales,Rosaceae,3028398,
Alchemilla aranica,Alchemilla aranica S.E. Fröhner,TRUE,Alchemilla,aranica,NA,Magnoliopsida,Rosales,Rosaceae,3028422,
Alchemilla atriuscula,Alchemilla atriuscula S.E. Fröhner,TRUE,Alchemilla,atriuscula,NA,Magnoliopsida,Rosales,Rosaceae,3028951,
Alchemilla atropurpurea,Alchemilla atropurpurea S.E. Fröhner,TRUE,Alchemilla,atropurpurea,NA,Magnoliopsida,Rosales,Rosaceae,3027439,
Alchemilla benasquensis,Alchemilla benasquensis S.E. Fröhner,TRUE,Alchemilla,benasquensis,NA,Magnoliopsida,Rosales,Rosaceae,3028574,
Alchemilla borderei,Alchemilla borderei Buser ex S.E. Fröhner,TRUE,Alchemilla,borderei,NA,Magnoliopsida,Rosales,Rosaceae,3028538,
Alchemilla burgensis,Alchemilla burgensis S.E. Fröhner,TRUE,Alchemilla,burgensis,NA,Magnoliopsida,Rosales,Rosaceae,3028442,
Alchemilla cadinensis,Alchemilla cadinensis Aymerich & L.Sáez,TRUE,Alchemilla,cadinensis,NA,Magnoliopsida,Rosales,Rosaceae,8781661,
Alchemilla catalaunica,Alchemilla catalaunica Rothm.,TRUE,Alchemilla,catalaunica,NA,Magnoliopsida,Rosales,Rosaceae,3027827,
Alchemilla cataractarum,Alchemilla cataractarum S.E. Fröhner,FALSE,Alchemilla,cataractarum,NA,Magnoliopsida,Rosales,Rosaceae,3028835,
Alchemilla colorata,Alchemilla colorata Buser,FALSE,Alchemilla,colorata,NA,Magnoliopsida,Rosales,Rosaceae,3027495,
Alchemilla connivens,Alchemilla connivens Buser,FALSE,Alchemilla,connivens,NA,Magnoliopsida,Rosales,Rosaceae,3028082,
Alchemilla coriacea,Alchemilla coriacea Buser,FALSE,Alchemilla,coriacea,NA,Magnoliopsida,Rosales,Rosaceae,3028252,
Alchemilla crenulata,Alchemilla crenulata S.E. Fröhner,TRUE,Alchemilla,crenulata,NA,Magnoliopsida,Rosales,Rosaceae,3028063,
Alchemilla demissa,Alchemilla demissa Buser,FALSE,Alchemilla,demissa,NA,Magnoliopsida,Rosales,Rosaceae,3027900,
Alchemilla diluta,Alchemilla diluta S.E. Fröhner,TRUE,Alchemilla,diluta,NA,Magnoliopsida,Rosales,Rosaceae,3028849,
Alchemilla effusa,Alchemilla effusa Buser,FALSE,Alchemilla,effusa,NA,Magnoliopsida,Rosales,Rosaceae,3028884,
Alchemilla espotensis,Alchemilla espotensis S.E. Fröhner,TRUE,Alchemilla,espotensis,NA,Magnoliopsida,Rosales,Rosaceae,3028945,
Alchemilla fageti,Alchemilla fageti S.E.Fröhner,FALSE,Alchemilla,fageti,NA,Magnoliopsida,Rosales,Rosaceae,3028831,
Alchemilla fallax,Alchemilla fallax Buser,FALSE,Alchemilla,fallax,NA,Magnoliopsida,Rosales,Rosaceae,8218176,
Alchemilla filicaulis,Alchemilla filicaulis Buser,FALSE,Alchemilla,filicaulis,NA,Magnoliopsida,Rosales,Rosaceae,3027485,
Alchemilla fissa,Alchemilla fissa Günther & Schummel,FALSE,Alchemilla,fissa,NA,Magnoliopsida,Rosales,Rosaceae,3028424,
Alchemilla flabellata,Alchemilla flabellata Buser,FALSE,Alchemilla,flabellata,NA,Magnoliopsida,Rosales,Rosaceae,3027735,
Alchemilla fontqueri,Alchemilla fontqueri Rothm.,TRUE,Alchemilla,fontqueri,NA,Magnoliopsida,Rosales,Rosaceae,3028113,
Alchemilla frost-olsenii,Alchemilla frost-olsenii S.E. Fröhner,TRUE,Alchemilla,frost-olsenii,NA,Magnoliopsida,Rosales,Rosaceae,3028709,
Alchemilla fulgens,Alchemilla fulgens Buser,TRUE,Alchemilla,fulgens,NA,Magnoliopsida,Rosales,Rosaceae,3028436,
Alchemilla fulgida,Alchemilla fulgida S.E. Fröhner,TRUE,Alchemilla,fulgida,NA,Magnoliopsida,Rosales,Rosaceae,3028636,
Alchemilla glabra,Alchemilla glabra Neygenf.,FALSE,Alchemilla,glabra,NA,Magnoliopsida,Rosales,Rosaceae,3027640,
Alchemilla glaucescens,Alchemilla glaucescens Wallr.,FALSE,Alchemilla,glaucescens,NA,Magnoliopsida,Rosales,Rosaceae,3027452,
Alchemilla glomerulans,Alchemilla glomerulans Buser,FALSE,Alchemilla,glomerulans,NA,Magnoliopsida,Rosales,Rosaceae,3028402,
Alchemilla hispanica,Alchemilla hispanica S.E. Fröhner,TRUE,Alchemilla,hispanica,NA,Magnoliopsida,Rosales,Rosaceae,3027445,
Alchemilla hoppeaniformis,Alchemilla hoppeaniformis S.E. Fröhner,TRUE,Alchemilla,hoppeaniformis,NA,Magnoliopsida,Rosales,Rosaceae,3028043,
Alchemilla hypercycla,Alchemilla hypercycla S.E. Fröhner,TRUE,Alchemilla,hypercycla,NA,Magnoliopsida,Rosales,Rosaceae,3028918,
Alchemilla ilerdensis,Alchemilla ilerdensis S.E. Fröhner,TRUE,Alchemilla,ilerdensis,NA,Magnoliopsida,Rosales,Rosaceae,3028931,
Alchemilla impedicellata,Alchemilla impedicellata S.E. Fröhner,TRUE,Alchemilla,impedicellata,NA,Magnoliopsida,Rosales,Rosaceae,3028644,
Alchemilla inconcinna,Alchemilla inconcinna Buser,FALSE,Alchemilla,inconcinna,NA,Magnoliopsida,Rosales,Rosaceae,3028706,
Alchemilla iniquiformis,Alchemilla iniquiformis S.E. Fröhner,TRUE,Alchemilla,iniquiformis,NA,Magnoliopsida,Rosales,Rosaceae,3028979,
Alchemilla iratiana,Alchemilla iratiana S.E. Fröhner,TRUE,Alchemilla,iratiana,NA,Magnoliopsida,Rosales,Rosaceae,3028590,
Alchemilla ischnocarpa,Alchemilla ischnocarpa S.E. Fröhner,TRUE,Alchemilla,ischnocarpa,NA,Magnoliopsida,Rosales,Rosaceae,3028666,
Alchemilla lainzii,Alchemilla lainzii S.E. Fröhner,TRUE,Alchemilla,lainzii,NA,Magnoliopsida,Rosales,Rosaceae,3028437,
Alchemilla lapeyrousii,Alchemilla lapeyrousii Buser,FALSE,Alchemilla,lapeyrousii,NA,Magnoliopsida,Rosales,Rosaceae,8292353,
Alchemilla legionensis,Alchemilla legionensis S.E. Fröhner,TRUE,Alchemilla,legionensis,NA,Magnoliopsida,Rosales,Rosaceae,3028487,
Alchemilla lucida,Alchemilla lucida Buser,FALSE,Alchemilla,lucida,NA,Magnoliopsida,Rosales,Rosaceae,3028930,
Alchemilla lunaria,Alchemilla lunaria S.E. Fröhner,FALSE,Alchemilla,lunaria,NA,Magnoliopsida,Rosales,Rosaceae,3027860,
Alchemilla macrochira,Alchemilla macrochira S.E. Fröhner,TRUE,Alchemilla,macrochira,NA,Magnoliopsida,Rosales,Rosaceae,3028939,
Alchemilla melanoscytos,Alchemilla melanoscytos S.E. Fröhner,TRUE,Alchemilla,melanoscytos,NA,Magnoliopsida,Rosales,Rosaceae,3027846,
Alchemilla microcephala,Alchemilla microcephala S.E. Fröhner,TRUE,Alchemilla,microcephala,NA,Magnoliopsida,Rosales,Rosaceae,3028410,
Alchemilla montserratii,Alchemilla montserratii S.E. Fröhner,TRUE,Alchemilla,montserratii,NA,Magnoliopsida,Rosales,Rosaceae,3028923,
Alchemilla mystrostigma,Alchemilla mystrostigma S.E. Fröhner,TRUE,Alchemilla,mystrostigma,NA,Magnoliopsida,Rosales,Rosaceae,3028933,
Alchemilla nafarroana,Alchemilla nafarroana S.E. Fröhner,TRUE,Alchemilla,nafarroana,NA,Magnoliopsida,Rosales,Rosaceae,3028902,
Alchemilla nieto-felineri,Alchemilla nieto-felineri S.E. Fröhner,TRUE,Alchemilla,nieto-felineri,NA,Magnoliopsida,Rosales,Rosaceae,3028300,
Alchemilla nudans,Alchemilla nudans S.E. Fröhner,TRUE,Alchemilla,nudans,NA,Magnoliopsida,Rosales,Rosaceae,3028870,
Alchemilla oscensis,Alchemilla oscensis S.E. Fröhner,TRUE,Alchemilla,oscensis,NA,Magnoliopsida,Rosales,Rosaceae,3028520,
Alchemilla ozana,Alchemilla ozana S.E. Fröhner,TRUE,Alchemilla,ozana,NA,Magnoliopsida,Rosales,Rosaceae,3028490,
Alchemilla pallens,Alchemilla pallens Buser,FALSE,Alchemilla,pallens,NA,Magnoliopsida,Rosales,Rosaceae,3028986,
Alchemilla paupercula,Alchemilla paupercula S.E. Fröhner,TRUE,Alchemilla,paupercula,NA,Magnoliopsida,Rosales,Rosaceae,3028911,
Alchemilla pentaphyllea,Alchemilla pentaphyllea L.,FALSE,Alchemilla,pentaphyllea,NA,Magnoliopsida,Rosales,Rosaceae,3028493,
Alchemilla perspicua,Alchemilla perspicua S.E. Fröhner,TRUE,Alchemilla,perspicua,NA,Magnoliopsida,Rosales,Rosaceae,3027962,
Alchemilla polatschekiana,Alchemilla polatschekiana S.E. Fröhner,TRUE,Alchemilla,polatschekiana,NA,Magnoliopsida,Rosales,Rosaceae,3028990,
Alchemilla polita,Alchemilla polita S.E. Fröhner,TRUE,Alchemilla,polita,NA,Magnoliopsida,Rosales,Rosaceae,3028501,
Alchemilla polychroma,Alchemilla polychroma S.E. Fröhner,TRUE,Alchemilla,polychroma,NA,Magnoliopsida,Rosales,Rosaceae,3028605,
Alchemilla rubristipula,Alchemilla rubristipula Buser,FALSE,Alchemilla,rubristipula,NA,Magnoliopsida,Rosales,Rosaceae,3028055,
Alchemilla rugulosa,Alchemilla rugulosa S.E. Fröhner,TRUE,Alchemilla,rugulosa,NA,Magnoliopsida,Rosales,Rosaceae,3028996,
Alchemilla santanderiensis,Alchemilla santanderiensis S.E. Fröhner,TRUE,Alchemilla,santanderiensis,NA,Magnoliopsida,Rosales,Rosaceae,3028126,
Alchemilla saxatilis,Alchemilla saxatilis Buser,FALSE,Alchemilla,saxatilis,NA,Magnoliopsida,Rosales,Rosaceae,3028162,
Alchemilla serratisaxatilis,Alchemilla serratisaxatilis S.E. Fröhner,TRUE,Alchemilla,serratisaxatilis,NA,Magnoliopsida,Rosales,Rosaceae,3028077,
Alchemilla sierrae,Alchemilla sierrae Romo,TRUE,Alchemilla,sierrae,NA,Magnoliopsida,Rosales,Rosaceae,3028120,
Alchemilla spathulata,Alchemilla spathulata S.E. Fröhner,TRUE,Alchemilla,spathulata,NA,Magnoliopsida,Rosales,Rosaceae,3027988,
Alchemilla spectabilior,Alchemilla spectabilior S.E. Fröhner,TRUE,Alchemilla,spectabilior,NA,Magnoliopsida,Rosales,Rosaceae,3028928,
Alchemilla straminea,Alchemilla straminea Buser,FALSE,Alchemilla,straminea,NA,Magnoliopsida,Rosales,Rosaceae,3028171,
Alchemilla subalpina,Alchemilla subalpina S.E. Fröhner,TRUE,Alchemilla,subalpina,NA,Magnoliopsida,Rosales,Rosaceae,3028525,
Alchemilla tenerifolia,Alchemilla tenerifolia S.E. Fröhner,TRUE,Alchemilla,tenerifolia,NA,Magnoliopsida,Rosales,Rosaceae,3028418,
Alchemilla tenerrima,Alchemilla tenerrima S.E. Fröhner,FALSE,Alchemilla,tenerrima,NA,Magnoliopsida,Rosales,Rosaceae,3028929,
Alchemilla tenuis,Alchemilla tenuis Buser,FALSE,Alchemilla,tenuis,NA,Magnoliopsida,Rosales,Rosaceae,3027730,
