NUMERIC REFERENCE,REFERENCE,CITATION,NUMBER OF OCCURRENCES
469,"Saez, L., Serapio, J., Medina, L., Lloret, F., Guasp, E., Vicens, M., Costa, S., Valls, P., Moreno Morall, G., Domínguez, L. A., Bibiloni, G., Rita, J., & Romero Zarco, C. M. (2022). Nuevos datos florísticos, correcciones y otras notas fitogeográficas de las Islas Baleares. Acta Botanica Malacitana, 47, 35–48. https://doi.org/10.24310/abm.v47i.15363","Saez, L., Serapio, J., Medina, L., Lloret, F., Guasp, E., Vicens, M., Costa, S., Valls, P., Moreno Morall, G., Domínguez, L. A., Bibiloni, G., Rita, J., & Romero Zarco, C. M. (2022). Nuevos datos florísticos, correcciones y otras notas fitogeográficas de las Islas Baleares. Acta Botanica Malacitana, 47, 35–48. https://doi.org/10.24310/abm.v47i.15363",59
334,"Lizaur, X & Salaverria, M.R. (1987).  Adiciones al Catálogo floristico de Alava, Vizcaya y Guipúzcoa (Aseginolaza & al., 1984). Munibe, Cien. Nat, 39, 115-118. https://www.aranzadi.eus/fileadmin/docs/Munibe/1987115118CN.pdf","Lizaur, X & Salaverria, M.R. (1987).  Adiciones al Catálogo floristico de Alava, Vizcaya y Guipúzcoa (Aseginolaza & al., 1984). Munibe, Cien. Nat, 39, 115-118. https://www.aranzadi.eus/fileadmin/docs/Munibe/1987115118CN.pdf",58
411,"Oltra Benavent, J. E., & Crespo Villalba, M. B. (2022). Scabiosa columbaria subsp. saetabensis (sect. Scabiosa, Dipsacoideae, Caprifoliaceae), nuevo taxón para la flora ibérica. Acta Botanica Malacitana, 47, 5-13. https://doi.org/10.24310/abm.v47i.14241","Oltra Benavent, J. E., & Crespo Villalba, M. B. (2022). Scabiosa columbaria subsp. saetabensis (sect. Scabiosa, Dipsacoideae, Caprifoliaceae), nuevo taxón para la flora ibérica. Acta Botanica Malacitana, 47, 5-13. https://doi.org/10.24310/abm.v47i.14241",58
267,"Fraga-Arguimbau, P., Mascaró-Sintes, C., Pallicer-Allès, X., Carreras-Martí, D., Seoane-Barber, M., Fernández-Rebollar, I. 2020. Notes i contribucions al coneixement de la flora de Menorca (XVI). Notes florístiques. Bolletí de la Societat d’Historia Natural de les Balears 63: 191-208.. https://raco.cat/index.php/BolletiSHNBalears/article/view/385138/478241","Fraga-Arguimbau, P., Mascaró-Sintes, C., Pallicer-Allès, X., Carreras-Martí, D., Seoane-Barber, M., Fernández-Rebollar, I. 2020. Notes i contribucions al coneixement de la flora de Menorca (XVI). Notes florístiques. Bolletí de la Societat d’Historia Natural de les Balears 63: 191-208.. https://raco.cat/index.php/BolletiSHNBalears/article/view/385138/478241",57
360,"Martín Gil, T.  (2021). Nuevas aportaciones de interés corológico a la orquidoflora de la provincia de Valladolid. Flora Montiberica, (80), 93-99. http://www.floramontiberica.org/FM/Flora_Montiberica80.pdf","Martín Gil, T.  (2021). Nuevas aportaciones de interés corológico a la orquidoflora de la provincia de Valladolid. Flora Montiberica, (80), 93-99. http://www.floramontiberica.org/FM/Flora_Montiberica80.pdf",56
300,"Gómez-Murillo, P., Arellano-Martín, I., Álvarez González, J.F., Castro Prigent, P., Sánchez García, Á. 2020. Revisión del género Narcissus L. (Amaryllidaceae) en Andalucía. Folia Botanica Extremadurensis 14: 25-38.. https://dialnet.unirioja.es/servlet/articulo?codigo=7744638","Gómez-Murillo, P., Arellano-Martín, I., Álvarez González, J.F., Castro Prigent, P., Sánchez García, Á. 2020. Revisión del género Narcissus L. (Amaryllidaceae) en Andalucía. Folia Botanica Extremadurensis 14: 25-38.. https://dialnet.unirioja.es/servlet/articulo?codigo=7744638",54
179,"Arbelaitz, E., Mendizabal, M., Tamayo, I., Aldezabal, A. & Aseginolaza, C. (2002). Aiako Harria Parke Naturaleko mehatxaturiko flora (Gipuzkoa): I. populazioen banaketa eta zentsoa. Munibe, 53, 131-146.. https://www.aranzadi.eus/fileadmin/docs/Munibe/2002131145CN.pdf","Arbelaitz, E., Mendizabal, M., Tamayo, I., Aldezabal, A. & Aseginolaza, C. (2002). Aiako Harria Parke Naturaleko mehatxaturiko flora (Gipuzkoa): I. populazioen banaketa eta zentsoa. Munibe, 53, 131-146.. https://www.aranzadi.eus/fileadmin/docs/Munibe/2002131145CN.pdf",53
196,"Blanca, G., Cueto, M., Fuentes, J., Ortega-Olivencia, A. 2021. Claiming a Boissierian species of Asperula (Rubiaceae), but under a new name: Galium pierredmondii. Phytotaxa 487 (3): 251-262. DOI: https://doi.org/10.11646/phytotaxa.487.3.5. https://www.mapress.com/pt/article/view/phytotaxa.487.3.5","Blanca, G., Cueto, M., Fuentes, J., Ortega-Olivencia, A. 2021. Claiming a Boissierian species of Asperula (Rubiaceae), but under a new name: Galium pierredmondii. Phytotaxa 487 (3): 251-262. DOI: https://doi.org/10.11646/phytotaxa.487.3.5. https://www.mapress.com/pt/article/view/phytotaxa.487.3.5",52
211,"Cardo, O. G., & Melgar, I. S. (2022). Aportaciones a la flora de la provincia de Cuenca, IX. Flora Montiberica, (84), 3-7.. http://www.floramontiberica.org/FM/Flora_Montiberica84.pdf","Cardo, O. G., & Melgar, I. S. (2022). Aportaciones a la flora de la provincia de Cuenca, IX. Flora Montiberica, (84), 3-7.. http://www.floramontiberica.org/FM/Flora_Montiberica84.pdf",52
158,"Aedo, C. (1988) Kantabriako Genista florida L.,S.L. Munibe {Ciencias Naturales), 40, 117-120. https://www.aranzadi.eus/fileadmin/docs/Munibe/1988117120CN.pdf","Aedo, C. (1988) Kantabriako Genista florida L.,S.L. Munibe {Ciencias Naturales), 40, 117-120. https://www.aranzadi.eus/fileadmin/docs/Munibe/1988117120CN.pdf",50
55,Atlas de la Flora de Aragón,Atlas de la Flora de Aragón,48
268,"Fraga-Arguimbau, P., Pallicer-Allès, X., Seoane-Barber, M., Truyol-Olives, M., Mascaró-Sintes, C., Carreras-Martí, D., Capó-Nin, J., & Coll-Pieres, D. (2021). Notes i contribucions al coneixement de la flora de Menorca (XVII). Notes florístiques. Boll. Soc. Hist. Nat. Balears, 64, 155-167. ISSN 0212-260X. e-ISSN 2444-8192. Palma (Illes Balears).. https://raco.cat/index.php/BolletiSHNBalears/article/view/399238/492512","Fraga-Arguimbau, P., Pallicer-Allès, X., Seoane-Barber, M., Truyol-Olives, M., Mascaró-Sintes, C., Carreras-Martí, D., Capó-Nin, J., & Coll-Pieres, D. (2021). Notes i contribucions al coneixement de la flora de Menorca (XVII). Notes florístiques. Boll. Soc. Hist. Nat. Balears, 64, 155-167. ISSN 0212-260X. e-ISSN 2444-8192. Palma (Illes Balears).. https://raco.cat/index.php/BolletiSHNBalears/article/view/399238/492512",48
335,"Lizaur, X. (1994). Precisiones y datos complementarios al “Catálogo florístico de Álava, Vizcaya y Guipúzcoa”. Munibe, Cienc. nat, 46, 93-96.. https://www.aranzadi.eus/fileadmin/docs/Munibe/1994093096CN.pdf","Lizaur, X. (1994). Precisiones y datos complementarios al “Catálogo florístico de Álava, Vizcaya y Guipúzcoa”. Munibe, Cienc. nat, 46, 93-96.. https://www.aranzadi.eus/fileadmin/docs/Munibe/1994093096CN.pdf",48
389,"Mateo, G., & Figuerola, J. I. P. (2023). De flora valentina, XXIV. Flora Montiberica, (85), 9-13.. http://www.floramontiberica.org/FM/Flora_Montiberica85.pdf","Mateo, G., & Figuerola, J. I. P. (2023). De flora valentina, XXIV. Flora Montiberica, (85), 9-13.. http://www.floramontiberica.org/FM/Flora_Montiberica85.pdf",48
418,"Pedrol, J., Yera, J., & Ascaso, J. (2002). De plantis vascularibus praesertim ibericis (IV). Munibe, 53, 147-156.. https://www.aranzadi.eus/fileadmin/docs/Munibe/2002147156CN.pdf","Pedrol, J., Yera, J., & Ascaso, J. (2002). De plantis vascularibus praesertim ibericis (IV). Munibe, 53, 147-156.. https://www.aranzadi.eus/fileadmin/docs/Munibe/2002147156CN.pdf",48
482,"Senar Lluch, R. (2021). Aportaciones a la flora castellonense, XII. Flora Montiberica, (81), 20-22.. http://www.floramontiberica.org/FM/Flora_Montiberica81.pdf","Senar Lluch, R. (2021). Aportaciones a la flora castellonense, XII. Flora Montiberica, (81), 20-22.. http://www.floramontiberica.org/FM/Flora_Montiberica81.pdf",48
