"Taxon","UTM10x10","UTM1x1","Ref"
"Cotoneaster tomentosus","30TXK13","---","García Cardo et al., 2020"
"Cotoneaster tomentosus","30TXK06","---","García Cardo et al., 2020"
"Cotoneaster tomentosus","30TXK14","---","García Cardo et al., 2020"
"Cotoneaster tomentosus","30TXK07","---","García Cardo et al., 2020"
"Cotoneaster tomentosus","30TXK05","---","García Cardo et al., 2020"
"Cotoneaster tomentosus","30TXK24","---","García Cardo et al., 2020"
"Dactylorhiza incarnata","30TWK68","---","García Cardo et al., 2020"
"Dactylorhiza incarnata","30TWK86","---","García Cardo et al., 2020"
"Dactylorhiza incarnata","30TWK87","---","García Cardo et al., 2020"
"Dactylorhiza incarnata","30TWK88","---","García Cardo et al., 2020"
"Dactylorhiza incarnata","30TWK78","---","García Cardo et al., 2020"
"Dactylorhiza incarnata","30TWK79","---","García Cardo et al., 2020"
"Dactylorhiza incarnata","30TWK96","---","García Cardo et al., 2020"
"Dactylorhiza incarnata","30TWK97","---","García Cardo et al., 2020"
"Dactylorhiza incarnata","30TWK98","---","García Cardo et al., 2020"
"Dactylorhiza incarnata","30TXK15","---","García Cardo et al., 2020"
"Dactylorhiza incarnata","30TXK06","---","García Cardo et al., 2020"
"Dactylorhiza incarnata","30TXK14","---","García Cardo et al., 2020"
"Dactylorhiza incarnata","30TXK07","---","García Cardo et al., 2020"
"Dactylorhiza incarnata","30TXK05","---","García Cardo et al., 2020"
"Dactylorhiza incarnata","30TXK24","---","García Cardo et al., 2020"
"Dactylorhiza sambucina","30SXJ49","---","García Cardo et al., 2020"
"Dactylorhiza sambucina","30SXK12","---","García Cardo et al., 2020"
"Dactylorhiza sambucina","30SXK41","---","García Cardo et al., 2020"
"Dactylorhiza sambucina","30SXK40","---","García Cardo et al., 2020"
"Dactylorhiza sambucina","30SXK30","---","García Cardo et al., 2020"
"Dactylorhiza sambucina","30SXK31","---","García Cardo et al., 2020"
"Dactylorhiza sambucina","30SXK51","---","García Cardo et al., 2020"
"Dactylorhiza sambucina","30TXK06","---","García Cardo et al., 2020"
"Dactylorhiza sambucina","30TXK04","---","García Cardo et al., 2020"
"Daphne mezereum","30TXK05","---","García Cardo et al., 2020"
"Eriophorum latifolium","30TWK85","---","García Cardo et al., 2020"
"Eriophorum latifolium","30TWK86","---","García Cardo et al., 2020"
"Eriophorum latifolium","30TWK87","---","García Cardo et al., 2020"
"Eriophorum latifolium","30TWK88","---","García Cardo et al., 2020"
"Eriophorum latifolium","30TWK95","---","García Cardo et al., 2020"
"Eriophorum latifolium","30TWK96","---","García Cardo et al., 2020"
"Eriophorum latifolium","30TWK97","---","García Cardo et al., 2020"
"Eriophorum latifolium","30TWK98","---","García Cardo et al., 2020"
"Eriophorum latifolium","30TXK16","---","García Cardo et al., 2020"
"Eriophorum latifolium","30TXK15","---","García Cardo et al., 2020"
"Eriophorum latifolium","30TXK06","---","García Cardo et al., 2020"
"Eriophorum latifolium","30TXK07","---","García Cardo et al., 2020"
"Ferula loscosii","30SWJ27","---","García Cardo et al., 2020"
"Ferula loscosii","30SWJ48","---","García Cardo et al., 2020"
"Ferula loscosii","30SWJ38","---","García Cardo et al., 2020"
"Gentiana cruciata","30TWK87","---","García Cardo et al., 2020"
"Gentiana cruciata","30TWK88","---","García Cardo et al., 2020"
"Gentiana cruciata","30TWK97","---","García Cardo et al., 2020"
"Gentiana cruciata","30TWK98","---","García Cardo et al., 2020"
"Gentiana cruciata","30TXK16","---","García Cardo et al., 2020"
"Gentiana cruciata","30TXK15","---","García Cardo et al., 2020"
"Gentiana cruciata","30TXK06","---","García Cardo et al., 2020"
"Gentiana cruciata","30TXK07","---","García Cardo et al., 2020"
"Gentiana cruciata","30TXK05","---","García Cardo et al., 2020"
"Geranium collinum","30TWK85","---","García Cardo et al., 2020"
"Geranium collinum","30TWK95","---","García Cardo et al., 2020"
"Geranium collinum","30TWK24","---","García Cardo et al., 2020"
"Geranium collinum","30TXK15","---","García Cardo et al., 2020"
"Geranium collinum","30TXK06","---","García Cardo et al., 2020"
"Geranium collinum","30TXK14","---","García Cardo et al., 2020"
"Geranium collinum","30TXK05","---","García Cardo et al., 2020"
"Geranium collinum","30TXK33","---","García Cardo et al., 2020"
"Geranium collinum","30TXK24","---","García Cardo et al., 2020"
"Geranium collinum","30SWK72","---","García Cardo et al., 2020"
"Glaux maritima","30TWK94","---","García Cardo et al., 2020"
"Glaux maritima","30TWK86","---","García Cardo et al., 2020"
"Glaux maritima","30TWK87","---","García Cardo et al., 2020"
"Glaux maritima","30TWK95","---","García Cardo et al., 2020"
"Glaux maritima","30TXK14","---","García Cardo et al., 2020"
"Glaux maritima","30TXK05","---","García Cardo et al., 2020"
"Glaux maritima","30TXK24","---","García Cardo et al., 2020"
"Glaux maritima","30TXK23","---","García Cardo et al., 2020"
"Hippuris vulgaris","30TWK85","---","García Cardo et al., 2020"
"Hippuris vulgaris","30TWK86","---","García Cardo et al., 2020"
"Hippuris vulgaris","30TWK75","---","García Cardo et al., 2020"
"Hippuris vulgaris","30TWK97","---","García Cardo et al., 2020"
"Hippuris vulgaris","30TXK15","---","García Cardo et al., 2020"
"Hippuris vulgaris","30TXK14","---","García Cardo et al., 2020"
"Hippuris vulgaris","30TXK07","---","García Cardo et al., 2020"
"Juncus balticus pyrenaeus","30TWK98","---","García Cardo et al., 2020"
"Juncus balticus pyrenaeus","30TXK16","---","García Cardo et al., 2020"
"Juncus balticus pyrenaeus","30TXK15","---","García Cardo et al., 2020"
"Juncus balticus pyrenaeus","30TXK06","---","García Cardo et al., 2020"
"Juncus balticus pyrenaeus","30TXK07","---","García Cardo et al., 2020"
"Juncus balticus pyrenaeus","30TXK05","---","García Cardo et al., 2020"
"Lathyrus pisiformis","30TWK85","---","García Cardo et al., 2020"
"Lathyrus pisiformis","30TWK86","---","García Cardo et al., 2020"
"Lathyrus pisiformis","30TWK88","---","García Cardo et al., 2020"
"Lathyrus pisiformis","30TWK78","---","García Cardo et al., 2020"
"Lathyrus pisiformis","30TWK98","---","García Cardo et al., 2020"
"Lathyrus pisiformis","30TXK06","---","García Cardo et al., 2020"
"Limonium longebracteatum","30SWJ26","---","García Cardo et al., 2020"
"Limonium longebracteatum","30SWJ27","---","García Cardo et al., 2020"
"Limonium longebracteatum","30SWJ16","---","García Cardo et al., 2020"
"Limonium longebracteatum","30TWK34","---","García Cardo et al., 2020"
"Limonium longebracteatum","30TWK04","---","García Cardo et al., 2020"
"Limonium longebracteatum","30TWK13","---","García Cardo et al., 2020"
"Limonium longebracteatum","30SWJ48","---","García Cardo et al., 2020"
"Limonium longebracteatum","30SWJ38","---","García Cardo et al., 2020"
"Limonium longebracteatum","30SWK21","---","García Cardo et al., 2020"
"Limonium squarrosum","30SWJ16","---","García Cardo et al., 2020"
"Lythrum baeticum","30SWK92","---","García Cardo et al., 2020"
"Lythrum baeticum","30SWK90","---","García Cardo et al., 2020"
"Lythrum baeticum","30SWK82","---","García Cardo et al., 2020"
"Lythrum baeticum","30SWK80","---","García Cardo et al., 2020"
"Lythrum baeticum","30SXK01","---","García Cardo et al., 2020"
"Lythrum baeticum","30TWK33","---","García Cardo et al., 2020"
"Lythrum baeticum","30TWK43","---","García Cardo et al., 2020"
"Lythrum baeticum","30TWK44","---","García Cardo et al., 2020"
"Lythrum baeticum","30SWJ89","---","García Cardo et al., 2020"
"Lythrum baeticum","30SWJ69","---","García Cardo et al., 2020"
"Lythrum baeticum","30SWJ56","---","García Cardo et al., 2020"
"Lythrum baeticum","30SWK32","---","García Cardo et al., 2020"
