"Taxon","UTM10x10","UTM1x1","Ref"
"Brassica repanda gypsicola","30SWK70","---","García Cardo et al., 2020"
"Brassica repanda gypsicola","30SWK60","---","García Cardo et al., 2020"
"Brassica repanda gypsicola","30SWK50","---","García Cardo et al., 2020"
"Brassica repanda gypsicola","30SWK61","---","García Cardo et al., 2020"
"Brassica repanda gypsicola","30SWK51","---","García Cardo et al., 2020"
"Brassica repanda gypsicola","30SWK31","---","García Cardo et al., 2020"
"Brassica repanda gypsicola","30TWK37","---","García Cardo et al., 2020"
"Brassica repanda gypsicola","30TWK38","---","García Cardo et al., 2020"
"Brassica repanda gypsicola","30TWK34","---","García Cardo et al., 2020"
"Brassica repanda gypsicola","30TWK35","---","García Cardo et al., 2020"
"Brassica repanda gypsicola","30TWK36","---","García Cardo et al., 2020"
"Brassica repanda gypsicola","30TWK65","---","García Cardo et al., 2020"
"Brassica repanda gypsicola","30TWK63","---","García Cardo et al., 2020"
"Brassica repanda gypsicola","30TWK67","---","García Cardo et al., 2020"
"Brassica repanda gypsicola","30TWK64","---","García Cardo et al., 2020"
"Brassica repanda gypsicola","30TWK66","---","García Cardo et al., 2020"
"Brassica repanda gypsicola","30TWK53","---","García Cardo et al., 2020"
"Brassica repanda gypsicola","30TWK54","---","García Cardo et al., 2020"
"Brassica repanda gypsicola","30TWK55","---","García Cardo et al., 2020"
"Brassica repanda gypsicola","30TWK56","---","García Cardo et al., 2020"
"Brassica repanda gypsicola","30TWK57","---","García Cardo et al., 2020"
"Brassica repanda gypsicola","30TWK58","---","García Cardo et al., 2020"
"Brassica repanda gypsicola","30TWK93","---","García Cardo et al., 2020"
"Brassica repanda gypsicola","30TWK85","---","García Cardo et al., 2020"
"Brassica repanda gypsicola","30TWK76","---","García Cardo et al., 2020"
"Brassica repanda gypsicola","30TWK73","---","García Cardo et al., 2020"
"Brassica repanda gypsicola","30TWK78","---","García Cardo et al., 2020"
"Brassica repanda gypsicola","30TWK75","---","García Cardo et al., 2020"
"Brassica repanda gypsicola","30TWK77","---","García Cardo et al., 2020"
"Brassica repanda gypsicola","30TWK98","---","García Cardo et al., 2020"
"Brassica repanda gypsicola","30TWK43","---","García Cardo et al., 2020"
"Brassica repanda gypsicola","30TWK48","---","García Cardo et al., 2020"
"Brassica repanda gypsicola","30TWK44","---","García Cardo et al., 2020"
"Brassica repanda gypsicola","30TWK45","---","García Cardo et al., 2020"
"Brassica repanda gypsicola","30TWK46","---","García Cardo et al., 2020"
"Brassica repanda gypsicola","30TWK47","---","García Cardo et al., 2020"
"Brassica repanda gypsicola","30TWK04","---","García Cardo et al., 2020"
"Brassica repanda gypsicola","30TWK05","---","García Cardo et al., 2020"
"Brassica repanda gypsicola","30TWK27","---","García Cardo et al., 2020"
"Brassica repanda gypsicola","30TWK03","---","García Cardo et al., 2020"
"Brassica repanda gypsicola","30TWK23","---","García Cardo et al., 2020"
"Brassica repanda gypsicola","30TWK26","---","García Cardo et al., 2020"
"Brassica repanda gypsicola","30TWK24","---","García Cardo et al., 2020"
"Brassica repanda gypsicola","30TWK25","---","García Cardo et al., 2020"
"Brassica repanda gypsicola","30TWK15","---","García Cardo et al., 2020"
"Brassica repanda gypsicola","30TWK16","---","García Cardo et al., 2020"
"Brassica repanda gypsicola","30TWK14","---","García Cardo et al., 2020"
"Brassica repanda gypsicola","30TWK17","---","García Cardo et al., 2020"
"Brassica repanda gypsicola","30TWK13","---","García Cardo et al., 2020"
"Brassica repanda gypsicola","30TVK93","---","García Cardo et al., 2020"
"Carduus paui","30TXK25","---","García Cardo et al., 2020"
"Carduus paui","30TXK06","---","García Cardo et al., 2020"
"Carduus paui","30TXK14","---","García Cardo et al., 2020"
"Carduus paui","30TXK07","---","García Cardo et al., 2020"
"Carduus paui","30TXK05","---","García Cardo et al., 2020"
"Carduus paui","30TXK16","---","García Cardo et al., 2020"
"Carduus paui","30TXK15","---","García Cardo et al., 2020"
"Carduus paui","30TWK65","---","García Cardo et al., 2020"
"Carduus paui","30TWK86","---","García Cardo et al., 2020"
"Carduus paui","30TWK87","---","García Cardo et al., 2020"
"Carduus paui","30TWK94","---","García Cardo et al., 2020"
"Carduus paui","30TWK85","---","García Cardo et al., 2020"
"Carduus paui","30TWK95","---","García Cardo et al., 2020"
"Carduus paui","30TWK96","---","García Cardo et al., 2020"
"Carduus paui","30TWK97","---","García Cardo et al., 2020"
"Carduus paui","30TWK98","---","García Cardo et al., 2020"
"Carduus paui","30TWK75","---","García Cardo et al., 2020"
"Carex davalliana","30TXK06","---","García Cardo et al., 2020"
"Carex davalliana","30TXK14","---","García Cardo et al., 2020"
"Carex davalliana","30TXK07","---","García Cardo et al., 2020"
"Carex davalliana","30TXK05","---","García Cardo et al., 2020"
"Carex davalliana","30TXK16","---","García Cardo et al., 2020"
"Carex davalliana","30TXK15","---","García Cardo et al., 2020"
"Carex davalliana","30TWK86","---","García Cardo et al., 2020"
"Carex davalliana","30TWK87","---","García Cardo et al., 2020"
"Carex davalliana","30TWK88","---","García Cardo et al., 2020"
"Carex davalliana","30TWK94","---","García Cardo et al., 2020"
"Carex davalliana","30TWK85","---","García Cardo et al., 2020"
"Carex davalliana","30TWK95","---","García Cardo et al., 2020"
"Carex davalliana","30TWK96","---","García Cardo et al., 2020"
"Carex davalliana","30TWK97","---","García Cardo et al., 2020"
"Carex davalliana","30TWK98","---","García Cardo et al., 2020"
"Carex disticha","30TXK04","---","García Cardo et al., 2020"
"Carex disticha","30TXK06","---","García Cardo et al., 2020"
"Carex disticha","30TXK14","---","García Cardo et al., 2020"
"Carex disticha","30TXK07","---","García Cardo et al., 2020"
"Carex disticha","30TXK05","---","García Cardo et al., 2020"
"Carex disticha","30TXK16","---","García Cardo et al., 2020"
"Carex disticha","30TXK15","---","García Cardo et al., 2020"
"Carex disticha","30TWK86","---","García Cardo et al., 2020"
"Carex disticha","30TWK87","---","García Cardo et al., 2020"
"Carex disticha","30TWK88","---","García Cardo et al., 2020"
"Carex disticha","30TWK85","---","García Cardo et al., 2020"
"Carex disticha","30TWK95","---","García Cardo et al., 2020"
"Carex disticha","30TWK96","---","García Cardo et al., 2020"
"Carex disticha","30TWK97","---","García Cardo et al., 2020"
"Carex disticha","30TWK98","---","García Cardo et al., 2020"
"Carex disticha","30TWK78","---","García Cardo et al., 2020"
"Carex disticha","30TWK79","---","García Cardo et al., 2020"
"Carex echinata","30TXK04","---","García Cardo et al., 2020"
"Carex echinata","30TXK05","---","García Cardo et al., 2020"
"Carex echinata","30TWK87","---","García Cardo et al., 2020"
"Carex echinata","30TWK88","---","García Cardo et al., 2020"
"Carex echinata","30TWK96","---","García Cardo et al., 2020"
"Carex echinata","30TWK97","---","García Cardo et al., 2020"
"Carex echinata","30TWK98","---","García Cardo et al., 2020"
"Carex echinata","30TWK79","---","García Cardo et al., 2020"
"Carex echinata","30TWK77","---","García Cardo et al., 2020"
"Carex nigra","30TXK04","---","García Cardo et al., 2020"
"Carex nigra","30TXK06","---","García Cardo et al., 2020"
"Carex nigra","30TXK07","---","García Cardo et al., 2020"
"Carex nigra","30TXK05","---","García Cardo et al., 2020"
"Carex nigra","30TXK16","---","García Cardo et al., 2020"
"Carex nigra","30TXK15","---","García Cardo et al., 2020"
"Carex nigra","30TWK86","---","García Cardo et al., 2020"
"Carex nigra","30TWK87","---","García Cardo et al., 2020"
"Carex nigra","30TWK88","---","García Cardo et al., 2020"
"Carex nigra","30TWK89","---","García Cardo et al., 2020"
"Carex nigra","30TWK84","---","García Cardo et al., 2020"
"Carex nigra","30TWK95","---","García Cardo et al., 2020"
"Carex nigra","30TWK96","---","García Cardo et al., 2020"
"Carex nigra","30TWK97","---","García Cardo et al., 2020"
"Carex nigra","30TWK98","---","García Cardo et al., 2020"
"Carex nigra","30TWK77","---","García Cardo et al., 2020"
"Centaurea nevadensis","30SWK62","---","García Cardo et al., 2020"
"Centaurea nevadensis","30SWK72","---","García Cardo et al., 2020"
"Centaurea nevadensis","30SWK92","---","García Cardo et al., 2020"
"Centaurea nevadensis","30SXK40","---","García Cardo et al., 2020"
"Centaurea nevadensis","30TXK06","---","García Cardo et al., 2020"
"Centaurea nevadensis","30TXK07","---","García Cardo et al., 2020"
"Centaurea nevadensis","30TWK74","---","García Cardo et al., 2020"
"Centaurea nevadensis","30TWK86","---","García Cardo et al., 2020"
"Centaurea nevadensis","30TWK87","---","García Cardo et al., 2020"
"Centaurea nevadensis","30TWK88","---","García Cardo et al., 2020"
"Centaurea nevadensis","30TWK94","---","García Cardo et al., 2020"
"Centaurea nevadensis","30TWK84","---","García Cardo et al., 2020"
"Centaurea nevadensis","30TWK85","---","García Cardo et al., 2020"
"Centaurea nevadensis","30TWK99","---","García Cardo et al., 2020"
"Centaurea nevadensis","30TWK96","---","García Cardo et al., 2020"
"Centaurea nevadensis","30TWK97","---","García Cardo et al., 2020"
"Centaurea nevadensis","30TWK98","---","García Cardo et al., 2020"
"Centaurea nevadensis","30TWK78","---","García Cardo et al., 2020"
"Centaurea nevadensis","30TWK75","---","García Cardo et al., 2020"
"Centaurea nevadensis","30TWK68","---","García Cardo et al., 2020"
"Centaurea nevadensis","30TWK69","---","García Cardo et al., 2020"
"Cladium mariscus","30SWK72","---","García Cardo et al., 2020"
"Cladium mariscus","30SWK82","---","García Cardo et al., 2020"
"Cladium mariscus","30SWK92","---","García Cardo et al., 2020"
"Cladium mariscus","30SXJ27","---","García Cardo et al., 2020"
"Cladium mariscus","30SWJ26","---","García Cardo et al., 2020"
"Cladium mariscus","30SWJ16","---","García Cardo et al., 2020"
"Cladium mariscus","30SWJ89","---","García Cardo et al., 2020"
"Cladium mariscus","30SWJ09","---","García Cardo et al., 2020"
"Cladium mariscus","30SWK91","---","García Cardo et al., 2020"
"Cladium mariscus","30TXK14","---","García Cardo et al., 2020"
"Cladium mariscus","30TXK15","---","García Cardo et al., 2020"
"Cladium mariscus","30TWK88","---","García Cardo et al., 2020"
"Cladium mariscus","30TWK78","---","García Cardo et al., 2020"
"Cladium mariscus","30TWK17","---","García Cardo et al., 2020"
"Cladium mariscus","30TWK16","---","García Cardo et al., 2020"
"Cladium mariscus","30TVK94","---","García Cardo et al., 2020"
"Coeloglossum viride","30TXK06","---","García Cardo et al., 2020"
"Coeloglossum viride","30TXK05","---","García Cardo et al., 2020"
"Coeloglossum viride","30TXK15","---","García Cardo et al., 2020"
"Coeloglossum viride","30TWK86","---","García Cardo et al., 2020"
"Coeloglossum viride","30TWK87","---","García Cardo et al., 2020"
"Coeloglossum viride","30TWK88","---","García Cardo et al., 2020"
"Coeloglossum viride","30TWK89","---","García Cardo et al., 2020"
"Coeloglossum viride","30TWK84","---","García Cardo et al., 2020"
"Coeloglossum viride","30TWK85","---","García Cardo et al., 2020"
"Coeloglossum viride","30TWK96","---","García Cardo et al., 2020"
"Coeloglossum viride","30TWK97","---","García Cardo et al., 2020"
"Coeloglossum viride","30TWK98","---","García Cardo et al., 2020"
"Coeloglossum viride","30TWK77","---","García Cardo et al., 2020"
"Colutea brevialata","30SXK42","---","García Cardo et al., 2020"
"Colutea brevialata","30SWK92","---","García Cardo et al., 2020"
"Colutea brevialata","30SXK12","---","García Cardo et al., 2020"
"Colutea brevialata","30SXK22","---","García Cardo et al., 2020"
"Colutea brevialata","30SWJ75","---","García Cardo et al., 2020"
"Colutea brevialata","30SXJ26","---","García Cardo et al., 2020"
"Colutea brevialata","30SXJ27","---","García Cardo et al., 2020"
"Colutea brevialata","30SWJ27","---","García Cardo et al., 2020"
"Colutea brevialata","30SWJ87","---","García Cardo et al., 2020"
"Colutea brevialata","30SXJ28","---","García Cardo et al., 2020"
"Colutea brevialata","30SXJ39","---","García Cardo et al., 2020"
"Colutea brevialata","30SXK40","---","García Cardo et al., 2020"
"Colutea brevialata","30SXJ29","---","García Cardo et al., 2020"
"Colutea brevialata","30SXK30","---","García Cardo et al., 2020"
"Colutea brevialata","30SXJ19","---","García Cardo et al., 2020"
"Colutea brevialata","30SWJ99","---","García Cardo et al., 2020"
"Colutea brevialata","30SXK00","---","García Cardo et al., 2020"
"Colutea brevialata","30SWK90","---","García Cardo et al., 2020"
"Colutea brevialata","30SXK50","---","García Cardo et al., 2020"
"Colutea brevialata","30SWK80","---","García Cardo et al., 2020"
"Colutea brevialata","30SWK70","---","García Cardo et al., 2020"
"Colutea brevialata","30SXK21","---","García Cardo et al., 2020"
"Colutea brevialata","30SXK11","---","García Cardo et al., 2020"
"Colutea brevialata","30SXK01","---","García Cardo et al., 2020"
"Colutea brevialata","30SWK71","---","García Cardo et al., 2020"
"Colutea brevialata","30TXK24","---","García Cardo et al., 2020"
"Colutea brevialata","30TXK33","---","García Cardo et al., 2020"
"Colutea brevialata","30TXK06","---","García Cardo et al., 2020"
"Colutea brevialata","30TXK14","---","García Cardo et al., 2020"
"Colutea brevialata","30TXK05","---","García Cardo et al., 2020"
"Colutea brevialata","30TWK74","---","García Cardo et al., 2020"
"Colutea brevialata","30TWK83","---","García Cardo et al., 2020"
"Colutea brevialata","30TWK76","---","García Cardo et al., 2020"
"Colutea brevialata","30TWK88","---","García Cardo et al., 2020"
"Colutea brevialata","30TWK84","---","García Cardo et al., 2020"
"Colutea brevialata","30TWK85","---","García Cardo et al., 2020"
"Colutea brevialata","30TWK44","---","García Cardo et al., 2020"
"Colutea brevialata","30TWK78","---","García Cardo et al., 2020"
"Colutea brevialata","30TWK79","---","García Cardo et al., 2020"
"Colutea brevialata","30TWK77","---","García Cardo et al., 2020"
"Colutea brevialata","30TWK68","---","García Cardo et al., 2020"
"Colutea brevialata","30TWK53","---","García Cardo et al., 2020"
"Colutea brevialata","30TWK69","---","García Cardo et al., 2020"
"Coronilla glauca","30TWK57","---","García Cardo et al., 2020"
"Coronilla glauca","30TWK58","---","García Cardo et al., 2020"
"Coronilla glauca","30TWK74","---","García Cardo et al., 2020"
"Coronilla glauca","30TWK73","---","García Cardo et al., 2020"
"Coronilla glauca","30TWK78","---","García Cardo et al., 2020"
"Coronilla glauca","30TWK79","---","García Cardo et al., 2020"
"Coronilla glauca","30TWK17","---","García Cardo et al., 2020"
"Coronilla glauca","30TWK16","---","García Cardo et al., 2020"
"Coronilla glauca","30TWK04","---","García Cardo et al., 2020"
"Coronilla glauca","30TWK68","---","García Cardo et al., 2020"
"Coronilla glauca","30TWK67","---","García Cardo et al., 2020"
"Coronilla glauca","30TWK69","---","García Cardo et al., 2020"
"Corylus avellana","30SXK12","---","García Cardo et al., 2020"
"Corylus avellana","30SXK22","---","García Cardo et al., 2020"
"Corylus avellana","30SXJ29","---","García Cardo et al., 2020"
"Corylus avellana","30SXJ19","---","García Cardo et al., 2020"
"Corylus avellana","30SXJ09","---","García Cardo et al., 2020"
"Corylus avellana","30SWK50","---","García Cardo et al., 2020"
"Corylus avellana","30SXK11","---","García Cardo et al., 2020"
"Corylus avellana","30TXK24","---","García Cardo et al., 2020"
"Corylus avellana","30TXK25","---","García Cardo et al., 2020"
"Corylus avellana","30TXK23","---","García Cardo et al., 2020"
"Corylus avellana","30TXK04","---","García Cardo et al., 2020"
"Corylus avellana","30TXK06","---","García Cardo et al., 2020"
"Corylus avellana","30TXK14","---","García Cardo et al., 2020"
"Corylus avellana","30TXK07","---","García Cardo et al., 2020"
"Corylus avellana","30TXK05","---","García Cardo et al., 2020"
"Corylus avellana","30TXK15","---","García Cardo et al., 2020"
"Corylus avellana","30TXK13","---","García Cardo et al., 2020"
"Corylus avellana","30TWK57","---","García Cardo et al., 2020"
"Corylus avellana","30TWK58","---","García Cardo et al., 2020"
"Corylus avellana","30TWK74","---","García Cardo et al., 2020"
"Corylus avellana","30TWK83","---","García Cardo et al., 2020"
"Corylus avellana","30TWK76","---","García Cardo et al., 2020"
"Corylus avellana","30TWK73","---","García Cardo et al., 2020"
"Corylus avellana","30TWK86","---","García Cardo et al., 2020"
"Corylus avellana","30TWK87","---","García Cardo et al., 2020"
"Corylus avellana","30TWK88","---","García Cardo et al., 2020"
"Corylus avellana","30TWK89","---","García Cardo et al., 2020"
"Corylus avellana","30TWK94","---","García Cardo et al., 2020"
"Corylus avellana","30TWK84","---","García Cardo et al., 2020"
"Corylus avellana","30TWK85","---","García Cardo et al., 2020"
"Corylus avellana","30TWK99","---","García Cardo et al., 2020"
"Corylus avellana","30TWK95","---","García Cardo et al., 2020"
"Corylus avellana","30TWK96","---","García Cardo et al., 2020"
"Corylus avellana","30TWK97","---","García Cardo et al., 2020"
"Corylus avellana","30TWK98","---","García Cardo et al., 2020"
"Corylus avellana","30TWK78","---","García Cardo et al., 2020"
"Corylus avellana","30TWK75","---","García Cardo et al., 2020"
"Corylus avellana","30TWK79","---","García Cardo et al., 2020"
"Corylus avellana","30TWK77","---","García Cardo et al., 2020"
"Corylus avellana","30TWK68","---","García Cardo et al., 2020"
"Corylus avellana","30TWK67","---","García Cardo et al., 2020"
"Corylus avellana","30TWK69","---","García Cardo et al., 2020"
"Corylus avellana","30TWL70","---","García Cardo et al., 2020"
"Corylus avellana","30TWL60","---","García Cardo et al., 2020"
"Dactylorhiza elata","30SXK12","---","García Cardo et al., 2020"
"Dactylorhiza elata","30SXK22","---","García Cardo et al., 2020"
"Dactylorhiza elata","30SWJ16","---","García Cardo et al., 2020"
"Dactylorhiza elata","30SXK40","---","García Cardo et al., 2020"
"Dactylorhiza elata","30SXK30","---","García Cardo et al., 2020"
"Dactylorhiza elata","30SXJ19","---","García Cardo et al., 2020"
"Dactylorhiza elata","30SWJ89","---","García Cardo et al., 2020"
"Dactylorhiza elata","30SXK00","---","García Cardo et al., 2020"
"Dactylorhiza elata","30SXK41","---","García Cardo et al., 2020"
"Dactylorhiza elata","30SXK21","---","García Cardo et al., 2020"
"Dactylorhiza elata","30TXK24","---","García Cardo et al., 2020"
"Dactylorhiza elata","30TXK03","---","García Cardo et al., 2020"
"Dactylorhiza elata","30TXK04","---","García Cardo et al., 2020"
"Dactylorhiza elata","30TXK33","---","García Cardo et al., 2020"
"Dactylorhiza elata","30TXK06","---","García Cardo et al., 2020"
"Dactylorhiza elata","30TXK14","---","García Cardo et al., 2020"
"Dactylorhiza elata","30TXK07","---","García Cardo et al., 2020"
"Dactylorhiza elata","30TXK05","---","García Cardo et al., 2020"
"Dactylorhiza elata","30TXK16","---","García Cardo et al., 2020"
"Dactylorhiza elata","30TXK15","---","García Cardo et al., 2020"
"Dactylorhiza elata","30TWK57","---","García Cardo et al., 2020"
"Dactylorhiza elata","30TWK58","---","García Cardo et al., 2020"
"Dactylorhiza elata","30TWK74","---","García Cardo et al., 2020"
"Dactylorhiza elata","30TWK83","---","García Cardo et al., 2020"
"Dactylorhiza elata","30TWK76","---","García Cardo et al., 2020"
"Dactylorhiza elata","30TWK73","---","García Cardo et al., 2020"
"Dactylorhiza elata","30TWK86","---","García Cardo et al., 2020"
"Dactylorhiza elata","30TWK87","---","García Cardo et al., 2020"
"Dactylorhiza elata","30TWK88","---","García Cardo et al., 2020"
"Dactylorhiza elata","30TWK89","---","García Cardo et al., 2020"
"Dactylorhiza elata","30TWK94","---","García Cardo et al., 2020"
"Dactylorhiza elata","30TWK84","---","García Cardo et al., 2020"
"Dactylorhiza elata","30TWK85","---","García Cardo et al., 2020"
"Dactylorhiza elata","30TWK99","---","García Cardo et al., 2020"
"Dactylorhiza elata","30TWK95","---","García Cardo et al., 2020"
"Dactylorhiza elata","30TWK96","---","García Cardo et al., 2020"
"Dactylorhiza elata","30TWK97","---","García Cardo et al., 2020"
"Dactylorhiza elata","30TWK98","---","García Cardo et al., 2020"
"Dactylorhiza elata","30TWK78","---","García Cardo et al., 2020"
"Dactylorhiza elata","30TWK75","---","García Cardo et al., 2020"
"Dactylorhiza elata","30TWK79","---","García Cardo et al., 2020"
"Dactylorhiza elata","30TWK77","---","García Cardo et al., 2020"
"Dactylorhiza elata","30TWK27","---","García Cardo et al., 2020"
"Dactylorhiza elata","30TWK59","---","García Cardo et al., 2020"
"Dactylorhiza elata","30TWK68","---","García Cardo et al., 2020"
"Dactylorhiza elata","30TWK67","---","García Cardo et al., 2020"
"Dactylorhiza elata","30TWK69","---","García Cardo et al., 2020"
"Dactylorhiza fuchsii","30SXK12","---","García Cardo et al., 2020"
"Dactylorhiza fuchsii","30TXK04","---","García Cardo et al., 2020"
"Dactylorhiza fuchsii","30TXK06","---","García Cardo et al., 2020"
"Dactylorhiza fuchsii","30TXK14","---","García Cardo et al., 2020"
"Dactylorhiza fuchsii","30TXK07","---","García Cardo et al., 2020"
"Dactylorhiza fuchsii","30TXK05","---","García Cardo et al., 2020"
"Dactylorhiza fuchsii","30TXK16","---","García Cardo et al., 2020"
"Dactylorhiza fuchsii","30TXK15","---","García Cardo et al., 2020"
"Dactylorhiza fuchsii","30TWK66","---","García Cardo et al., 2020"
"Dactylorhiza fuchsii","30TWK57","---","García Cardo et al., 2020"
"Dactylorhiza fuchsii","30TWK58","---","García Cardo et al., 2020"
"Dactylorhiza fuchsii","30TWK74","---","García Cardo et al., 2020"
"Dactylorhiza fuchsii","30TWK76","---","García Cardo et al., 2020"
"Dactylorhiza fuchsii","30TWK86","---","García Cardo et al., 2020"
"Dactylorhiza fuchsii","30TWK87","---","García Cardo et al., 2020"
"Dactylorhiza fuchsii","30TWK88","---","García Cardo et al., 2020"
"Dactylorhiza fuchsii","30TWK89","---","García Cardo et al., 2020"
"Dactylorhiza fuchsii","30TWK94","---","García Cardo et al., 2020"
"Dactylorhiza fuchsii","30TWK84","---","García Cardo et al., 2020"
"Dactylorhiza fuchsii","30TWK85","---","García Cardo et al., 2020"
"Dactylorhiza fuchsii","30TWK95","---","García Cardo et al., 2020"
"Dactylorhiza fuchsii","30TWK96","---","García Cardo et al., 2020"
"Dactylorhiza fuchsii","30TWK97","---","García Cardo et al., 2020"
"Dactylorhiza fuchsii","30TWK98","---","García Cardo et al., 2020"
"Dactylorhiza fuchsii","30TWK78","---","García Cardo et al., 2020"
"Dactylorhiza fuchsii","30TWK75","---","García Cardo et al., 2020"
"Dactylorhiza fuchsii","30TWK79","---","García Cardo et al., 2020"
"Dactylorhiza fuchsii","30TWK77","---","García Cardo et al., 2020"
"Dactylorhiza fuchsii","30TWK68","---","García Cardo et al., 2020"
"Dactylorhiza fuchsii","30TWK67","---","García Cardo et al., 2020"
"Dactylorhiza fuchsii","30TWK69","---","García Cardo et al., 2020"
"Dactylorhiza insularis","30SWK80","---","García Cardo et al., 2020"
"Dactylorhiza insularis","30SWK81","---","García Cardo et al., 2020"
"Dactylorhiza insularis","30TXK04","---","García Cardo et al., 2020"
"Dactylorhiza insularis","30TXK06","---","García Cardo et al., 2020"
"Dactylorhiza insularis","30TXK14","---","García Cardo et al., 2020"
"Dactylorhiza insularis","30TXK05","---","García Cardo et al., 2020"
"Dactylorhiza insularis","30TWK65","---","García Cardo et al., 2020"
"Dactylorhiza insularis","30TWK74","---","García Cardo et al., 2020"
"Dactylorhiza insularis","30TWK83","---","García Cardo et al., 2020"
"Dactylorhiza insularis","30TWK76","---","García Cardo et al., 2020"
"Dactylorhiza insularis","30TWK86","---","García Cardo et al., 2020"
"Dactylorhiza insularis","30TWK87","---","García Cardo et al., 2020"
"Dactylorhiza insularis","30TWK88","---","García Cardo et al., 2020"
"Dactylorhiza insularis","30TWK89","---","García Cardo et al., 2020"
"Dactylorhiza insularis","30TWK84","---","García Cardo et al., 2020"
"Dactylorhiza insularis","30TWK85","---","García Cardo et al., 2020"
"Dactylorhiza insularis","30TWK44","---","García Cardo et al., 2020"
"Dactylorhiza insularis","30TWK43","---","García Cardo et al., 2020"
"Dactylorhiza insularis","30TWK96","---","García Cardo et al., 2020"
"Dactylorhiza insularis","30TWK78","---","García Cardo et al., 2020"
"Dactylorhiza insularis","30TWK75","---","García Cardo et al., 2020"
"Dactylorhiza insularis","30TWK79","---","García Cardo et al., 2020"
"Dactylorhiza insularis","30TWK15","---","García Cardo et al., 2020"
"Dactylorhiza insularis","30TWK68","---","García Cardo et al., 2020"
"Dactylorhiza insularis","30TWK53","---","García Cardo et al., 2020"
"Dactylorhiza maculata","30SXK12","---","García Cardo et al., 2020"
"Dactylorhiza maculata","30SXK40","---","García Cardo et al., 2020"
"Dactylorhiza maculata","30TXK04","---","García Cardo et al., 2020"
"Dactylorhiza maculata","30TXK06","---","García Cardo et al., 2020"
"Dactylorhiza maculata","30TXK05","---","García Cardo et al., 2020"
"Dactylorhiza maculata","30TXK15","---","García Cardo et al., 2020"
"Dactylorhiza maculata","30TWK86","---","García Cardo et al., 2020"
"Dactylorhiza maculata","30TWK87","---","García Cardo et al., 2020"
"Dactylorhiza maculata","30TWK88","---","García Cardo et al., 2020"
"Dactylorhiza maculata","30TWK89","---","García Cardo et al., 2020"
"Dactylorhiza maculata","30TWK84","---","García Cardo et al., 2020"
"Dactylorhiza maculata","30TWK95","---","García Cardo et al., 2020"
"Dactylorhiza maculata","30TWK96","---","García Cardo et al., 2020"
"Dactylorhiza maculata","30TWK97","---","García Cardo et al., 2020"
"Dactylorhiza maculata","30TWK98","---","García Cardo et al., 2020"
"Dactylorhiza maculata","30TWK78","---","García Cardo et al., 2020"
"Dictamnus albus","30TWK63","---","García Cardo et al., 2020"
"Dictamnus albus","30TWK74","---","García Cardo et al., 2020"
"Dictamnus albus","30TWK83","---","García Cardo et al., 2020"
"Dictamnus albus","30TWK76","---","García Cardo et al., 2020"
"Dictamnus albus","30TWK73","---","García Cardo et al., 2020"
"Dictamnus albus","30TWK44","---","García Cardo et al., 2020"
"Dictamnus albus","30TWK75","---","García Cardo et al., 2020"
"Dictamnus albus","30TWK77","---","García Cardo et al., 2020"
"Dictamnus albus","30TWK15","---","García Cardo et al., 2020"
"Dictamnus albus","30TWK16","---","García Cardo et al., 2020"
"Dictamnus albus","30TWK59","---","García Cardo et al., 2020"
"Dictamnus albus","30TWK68","---","García Cardo et al., 2020"
"Dictamnus hispanicus","30SWK62","---","García Cardo et al., 2020"
"Dictamnus hispanicus","30SXK42","---","García Cardo et al., 2020"
"Dictamnus hispanicus","30SWK42","---","García Cardo et al., 2020"
"Dictamnus hispanicus","30SWJ25","---","García Cardo et al., 2020"
"Dictamnus hispanicus","30SXJ27","---","García Cardo et al., 2020"
"Dictamnus hispanicus","30SWJ78","---","García Cardo et al., 2020"
"Dictamnus hispanicus","30SWJ48","---","García Cardo et al., 2020"
"Dictamnus hispanicus","30SWJ38","---","García Cardo et al., 2020"
"Dictamnus hispanicus","30SXK40","---","García Cardo et al., 2020"
"Dictamnus hispanicus","30SXJ29","---","García Cardo et al., 2020"
"Dictamnus hispanicus","30SXK00","---","García Cardo et al., 2020"
"Dictamnus hispanicus","30SWK20","---","García Cardo et al., 2020"
"Dictamnus hispanicus","30SWK71","---","García Cardo et al., 2020"
"Dictamnus hispanicus","30SWK61","---","García Cardo et al., 2020"
"Dictamnus hispanicus","30SWK31","---","García Cardo et al., 2020"
"Drosera rotundifolia","30TXK04","---","García Cardo et al., 2020"
"Drosera rotundifolia","30TWK88","---","García Cardo et al., 2020"
"Elatine alsinastrum","30TWK96","---","García Cardo et al., 2020"
"Eleocharis multicaulis","30SXK40","---","García Cardo et al., 2020"
"Eleocharis multicaulis","30SXK50","---","García Cardo et al., 2020"
"Eleocharis multicaulis","30TXK33","---","García Cardo et al., 2020"
"Eleocharis multicaulis","30TXK14","---","García Cardo et al., 2020"
"Eleocharis multicaulis","30TXK05","---","García Cardo et al., 2020"
"Eleocharis multicaulis","30TXK15","---","García Cardo et al., 2020"
"Eleocharis multicaulis","30TWK86","---","García Cardo et al., 2020"
"Eleocharis multicaulis","30TWK88","---","García Cardo et al., 2020"
"Eleocharis multicaulis","30TWK94","---","García Cardo et al., 2020"
"Eleocharis multicaulis","30TWK85","---","García Cardo et al., 2020"
