Taxon,UTM10x10,UTM1x1,References
Galactites tomentosa,29SQC39,NA,Folia Botanica Extremadurensis
Silene colorata,29SNB10,NA,Folia Botanica Extremadurensis
Senecio lividus,29SQD20,NA,Folia Botanica Extremadurensis
Taraxacum duriense,29SMD93,NA,Folia Botanica Extremadurensis
Calendula arvensis,29SPD36,NA,Folia Botanica Extremadurensis
Marsilea batardae,29SPC98,NA,Folia Botanica Extremadurensis
Carduus tenuiflorus,29SPD36,NA,Folia Botanica Extremadurensis
Plantago lagopus,29SPC59,NA,Folia Botanica Extremadurensis
Carex halleriana,29SQC41,NA,Folia Botanica Extremadurensis
Valantia muralis,29SNB71,NA,Folia Botanica Extremadurensis
Stachys arvensis,29SNC87,NA,Folia Botanica Extremadurensis
Centaurea benedicta,30STH69,NA,Folia Botanica Extremadurensis
Bromus rigidus,29SPB06,NA,Folia Botanica Extremadurensis
Cytisus striatus,29SQC41,NA,Folia Botanica Extremadurensis
Anarrhinum bellidifolium,30SUJ03,NA,Folia Botanica Extremadurensis
Gagea soleirolii,30TTK66,NA,Folia Botanica Extremadurensis
Melittis melissophyllum,30TTK64,NA,Folia Botanica Extremadurensis
Centranthus calcitrapae,29TQE13,NA,Folia Botanica Extremadurensis
Calendula arvensis,29SQD20,NA,Folia Botanica Extremadurensis
Ophrys lutea,29SQD11,NA,Folia Botanica Extremadurensis
Hypochaeris glabra,30STH67,NA,Folia Botanica Extremadurensis
Glyceria declinata,29SQC26,NA,Folia Botanica Extremadurensis
Taraxacum marginellum,30STJ98,NA,Folia Botanica Extremadurensis
Teucrium fruticans,29SQC63,NA,Folia Botanica Extremadurensis
Fumaria bastardii,30SUH08,NA,Folia Botanica Extremadurensis
Festuca rothmaleri,29TPE85,NA,Folia Botanica Extremadurensis
Herniaria glabra,29SQC45,NA,Folia Botanica Extremadurensis
Ornithogalum baeticum,29SPD40,NA,Folia Botanica Extremadurensis
Lolium rigidum,30SUH18,NA,Folia Botanica Extremadurensis
Echium plantagineum,30STH67,NA,Folia Botanica Extremadurensis
Petrorhagia nanteuilii,30STH67,NA,Folia Botanica Extremadurensis
Plantago afra,30STH62,NA,Folia Botanica Extremadurensis
Phillyrea angustifolia,29SPC50,NA,Folia Botanica Extremadurensis
Anthriscus caucalis,29SPD45,NA,Folia Botanica Extremadurensis
Linaria spartea,30STH88,NA,Folia Botanica Extremadurensis
Hyacinthoides non-scripta,29TPE84,NA,Folia Botanica Extremadurensis
Cerastium ramosissimum,29TPE84,NA,Folia Botanica Extremadurensis
Centranthus calcitrapae,29SNC31,NA,Folia Botanica Extremadurensis
Narcissus papyraceus,29SNB82,NA,Folia Botanica Extremadurensis
Aristolochia paucinervis,30SUH08,NA,Folia Botanica Extremadurensis
Asplenium adiantum-nigrum,29TPE85,NA,Folia Botanica Extremadurensis
Plantago serraria,29SQC26,NA,Folia Botanica Extremadurensis
Misopates orontium,30STJ50,NA,Folia Botanica Extremadurensis
Ornithopus pinnatus,29SNC11,NA,Folia Botanica Extremadurensis
Thymus capitellatus,29SNB13,NA,Folia Botanica Extremadurensis
Biscutella auriculata,29SQC35,NA,Folia Botanica Extremadurensis
Calendula arvensis,30STJ50,NA,Folia Botanica Extremadurensis
Serapias maria,29SQD20,NA,Folia Botanica Extremadurensis
Misopates orontium,29SQC26,NA,Folia Botanica Extremadurensis
Gladiolus italicus,29SQC45,NA,Folia Botanica Extremadurensis
Helianthemum aegyptiacum,30STH89,NA,Folia Botanica Extremadurensis
Silene gallica,29SPD46,NA,Folia Botanica Extremadurensis
Sedum candollei,30STH88,NA,Folia Botanica Extremadurensis
Euphorbia oxyphylla,30TTK64,NA,Folia Botanica Extremadurensis
Achillea millefolium,29TPE85,NA,Folia Botanica Extremadurensis
Lamium amplexicaule,30STH53,NA,Folia Botanica Extremadurensis
Salix caprea,29TQE38,NA,Folia Botanica Extremadurensis
Silene colorata,29SPC97,NA,Folia Botanica Extremadurensis
Medicago polymorpha,29SNB21,NA,Folia Botanica Extremadurensis
Silene colorata,30STK60,NA,Folia Botanica Extremadurensis
Briza minor,29SQD34,NA,Folia Botanica Extremadurensis
Helianthemum ledifolium,29SQC35,NA,Folia Botanica Extremadurensis
Phalaris coerulescens,29SQD11,NA,Folia Botanica Extremadurensis
Senecio gallicus,29SNC25,NA,Folia Botanica Extremadurensis
Astragalus echinatus,29SQC06,NA,Folia Botanica Extremadurensis
Geranium purpureum,29SPC50,NA,Folia Botanica Extremadurensis
Scorzonera hispanica,29SQD00,NA,Folia Botanica Extremadurensis
Hypochaeris glabra,30STH62,NA,Folia Botanica Extremadurensis
Quercus canariensis,29SPC94,NA,Folia Botanica Extremadurensis
Senecio vulgaris,29TQE46,NA,Folia Botanica Extremadurensis
Aristolochia paucinervis,29SPD89,NA,Folia Botanica Extremadurensis
Tolpis umbellata,29SQC39,NA,Folia Botanica Extremadurensis
Ophrys lutea,29SPC39,NA,Folia Botanica Extremadurensis
Callitriche brutia,30STH41,NA,Folia Botanica Extremadurensis
Helianthemum hirtum,29SQC19,NA,Folia Botanica Extremadurensis
Stipa offneri,30SXJ62,NA,Folia Botanica Extremadurensis
Verbascum pulverulentum,29SQC41,NA,Folia Botanica Extremadurensis
Barbarea intermedia,29SPD96,NA,Folia Botanica Extremadurensis
Lolium rigidum,29SQD34,NA,Folia Botanica Extremadurensis
Stellaria alsine,29SQC26,NA,Folia Botanica Extremadurensis
Calendula arvensis,30STK70,NA,Folia Botanica Extremadurensis
Nardus stricta,29TPE85,NA,Folia Botanica Extremadurensis
Crataegus monogyna,29TQE13,NA,Folia Botanica Extremadurensis
Calendula arvensis,29SPC93,NA,Folia Botanica Extremadurensis
Plantago lanceolata,30TTK94,NA,Folia Botanica Extremadurensis
Euphorbia segetalis,30STH62,NA,Folia Botanica Extremadurensis
Serapias lingua,29TQE43,NA,Folia Botanica Extremadurensis
Glaucium corniculatum,29SQD00,NA,Folia Botanica Extremadurensis
Ornithogalum baeticum,30STJ50,NA,Folia Botanica Extremadurensis
Smyrnium olusatrum,29SQC11,NA,Folia Botanica Extremadurensis
Torilis nodosa,29SQD00,NA,Folia Botanica Extremadurensis
Euphorbia peplus,29SQC19,NA,Folia Botanica Extremadurensis
Hypochaeris glabra,29SQD08,NA,Folia Botanica Extremadurensis
Reseda luteola,30STH68,NA,Folia Botanica Extremadurensis
Onobrychis humilis,30SUJ11,NA,Folia Botanica Extremadurensis
Plantago lagopus,29SQD20,NA,Folia Botanica Extremadurensis
Platycapnos spicata,30STH62,NA,Folia Botanica Extremadurensis
Stipa tenacissima,30SVG82,NA,Folia Botanica Extremadurensis
Linaria micrantha,30TUM40,NA,Folia Botanica Extremadurensis
Stellaria media,29TQE43,NA,Folia Botanica Extremadurensis
Alyssum granatense,30STJ50,NA,Folia Botanica Extremadurensis
Silene gallica,30STH87,NA,Folia Botanica Extremadurensis
Quercus pyrenaica,30TTK64,NA,Folia Botanica Extremadurensis
Rhagadiolus edulis,30STK60,NA,Folia Botanica Extremadurensis
Calendula arvensis,29SQC26,NA,Folia Botanica Extremadurensis
Thapsia garganica,29SPC67,NA,Folia Botanica Extremadurensis
Lilium martagon,30TTK64,NA,Folia Botanica Extremadurensis
Serapias parviflora,29SNB00,NA,Folia Botanica Extremadurensis
Ranunculus pseudomillefoliatus,29TQE13,NA,Folia Botanica Extremadurensis
Cerastium ramosissimum,30STH73,NA,Folia Botanica Extremadurensis
Orobanche amethystea,29SPD45,NA,Folia Botanica Extremadurensis
Pimpinella villosa,30STH73,NA,Folia Botanica Extremadurensis
Erodium aethiopicum,30SUH08,NA,Folia Botanica Extremadurensis
Arabis stenocarpa,30TTK74,NA,Folia Botanica Extremadurensis
Stipa tenacissima,30SWH92,NA,Folia Botanica Extremadurensis
Vicia benghalensis,30STH73,NA,Folia Botanica Extremadurensis
Rumex induratus,29SQD20,NA,Folia Botanica Extremadurensis
Ranunculus trilobus,30SUH18,NA,Folia Botanica Extremadurensis
Hedypnois rhagadioloides,30SUH18,NA,Folia Botanica Extremadurensis
Matricaria aurea,30SWJ90,NA,Folia Botanica Extremadurensis
Allium roseum,29TQE47,NA,Folia Botanica Extremadurensis
Lamarckia aurea,30STJ60,NA,Folia Botanica Extremadurensis
Carex divisa,29SPD80,NA,Folia Botanica Extremadurensis
Medicago polymorpha,29SPC50,NA,Folia Botanica Extremadurensis
Euphorbia segetalis,29SNC25,NA,Folia Botanica Extremadurensis
Geranium dissectum,29SPC38,NA,Folia Botanica Extremadurensis
