"Taxon","UTM.cell"
"Centaurea_aristata","30TXK18"
"Centaurea_aristata","30SXK40"
"Centaurea_aristata","30TXL17"
"Centaurea_aristata","30TXL35"
"Centaurea_langei","29TNE73"
"Centaurea_langei","29TNE78"
"Centaurea_langei","29TNE87"
"Centaurea_langei","29TNE94"
"Centaurea_langei","29TNE95"
"Centaurea_langei","29TNF71"
"Centaurea_langei","29TNF73"
"Centaurea_langei","29TNF74"
"Centaurea_langei","29TNF80"
"Centaurea_langei","29TNF81"
"Centaurea_langei","29TNF84"
"Centaurea_langei","29TNF92"
"Centaurea_langei","29TNF93"
"Centaurea_langei","29TNG07"
"Centaurea_langei","29TNG09"
"Centaurea_langei","29TNG13"
"Centaurea_langei","29TNG25"
"Centaurea_langei","29TNG35"
"Centaurea_langei","29TNG43"
"Centaurea_langei","29TNG45"
"Centaurea_langei","29TNG56"
"Centaurea_langei","29TNG61"
"Centaurea_langei","29TNG67"
"Centaurea_langei","29TNG72"
"Centaurea_langei","29TNG73"
"Centaurea_langei","29TNG74"
"Centaurea_langei","29TNG78"
"Centaurea_langei","29TNG79"
"Centaurea_langei","29TNG98"
"Centaurea_langei","29TNH00"
"Centaurea_langei","29TNH34"
"Centaurea_langei","29TNH95"
"Centaurea_langei","29SPD36"
"Centaurea_langei","29SPD55"
"Centaurea_langei","29TPE15"
"Centaurea_langei","29TPE16"
"Centaurea_langei","29TPE26"
"Centaurea_langei","29TPE27"
"Centaurea_langei","29TPE34"
"Centaurea_langei","29TPE37"
"Centaurea_langei","29TPE49"
"Centaurea_langei","29TPE53"
"Centaurea_langei","29TPE57"
"Centaurea_langei","29TPF03"
"Centaurea_langei","29TPF12"
"Centaurea_langei","29TPF22"
"Centaurea_langei","29TPF31"
"Centaurea_langei","29TPF33"
"Centaurea_langei","29TPF40"
"Centaurea_langei","29TPF43"
"Centaurea_langei","29TPG09"
"Centaurea_langei","29TPG22"
"Centaurea_langei","29TPG24"
"Centaurea_langei","29TPG49"
"Centaurea_langei","29TPG56"
"Centaurea_langei","29TPG57"
"Centaurea_langei","29TPG58"
"Centaurea_langei","29TPG59"
"Centaurea_langei","29TPG66"
"Centaurea_langei","29TPG69"
"Centaurea_langei","29TPG72"
"Centaurea_langei","29TPG73"
"Centaurea_langei","29TPG74"
"Centaurea_langei","29TPG82"
"Centaurea_langei","29TPG87"
"Centaurea_langei","29TPG88"
"Centaurea_langei","29TPG93"
"Centaurea_langei","29TPG95"
"Centaurea_langei","29TPG96"
"Centaurea_langei","29TPH17"
"Centaurea_langei","29TPH32"
"Centaurea_langei","29TPH36"
"Centaurea_langei","29TPH40"
"Centaurea_langei","29TPH41"
"Centaurea_langei","29TPH42"
"Centaurea_langei","29TPH44"
"Centaurea_langei","29TPH49"
"Centaurea_langei","29TPH51"
"Centaurea_langei","29TPH52"
"Centaurea_langei","29TPH53"
"Centaurea_langei","29TPH54"
"Centaurea_langei","29TPH58"
"Centaurea_langei","29TPH62"
"Centaurea_langei","29TPH63"
"Centaurea_langei","29TPH66"
"Centaurea_langei","29TPH70"
"Centaurea_langei","29TPH71"
"Centaurea_langei","29TPH72"
"Centaurea_langei","29TPH76"
"Centaurea_langei","29TPH81"
