Taxon,UTM10x10,References
Glebionis coronaria,30SVG59,"Carlos Salazar-Martín, com.pers."
Glebionis coronaria,30SVG69,"Carlos Salazar-Martín, com.pers."
Glebionis coronaria,30SVH20,"Carlos Salazar-Martín, com.pers."
Glebionis coronaria,30SVH30,"Carlos Salazar-Martín, com.pers."
Glebionis coronaria,30SVH41,"Carlos Salazar-Martín, com.pers."
Glebionis coronaria,30SVH52,"Carlos Salazar-Martín, com.pers."
Glebionis coronaria,30SVH76,"Carlos Salazar-Martín, com.pers."
Groenlandia densa,30SUF88,"Carlos Salazar-Martín, com.pers."
Groenlandia densa,30SUG54,"Carlos Salazar-Martín, com.pers."
Groenlandia densa,30SVG10,"Carlos Salazar-Martín, com.pers."
Halocnemum strobilaceum,30SWF87,"Carlos Salazar-Martín, com.pers."
Hohenackeria exscapa,30SWG19,"Carlos Salazar-Martín, com.pers."
Humulus lupulus,30SWH33,"Carlos Salazar-Martín, com.pers."
Inula conyzae,30SWH42,"Carlos Salazar-Martín, com.pers."
Inula helvetica,30SWH00,"Carlos Salazar-Martín, com.pers."
Inula salicina,30SVF28,"Carlos Salazar-Martín, com.pers."
Lactuca viminea viminea,30SVG36,"Carlos Salazar-Martín, com.pers."
Lupinus mariae-josephi,30SUF55,"Carlos Salazar-Martín, com.pers."
Phleum phleoides,30SVH45,"Carlos Salazar-Martín, com.pers."
Phyla nodiflora,30SUF56,"Carlos Salazar-Martín, com.pers."
Phyla nodiflora,30SVF96,"Carlos Salazar-Martín, com.pers."
Phyla nodiflora,30SWF57,"Carlos Salazar-Martín, com.pers."
Plantago maritima serpentina,30SWG26,"Carlos Salazar-Martín, com.pers."
Polycnemum arvense,30SWG12,"Carlos Salazar-Martín, com.pers."
Ranunculus omiophyllus,30SVG71,"Carlos Salazar-Martín, com.pers."
Ranunculus omiophyllus,30SWG00,"Carlos Salazar-Martín, com.pers."
Sarcocapnos enneaphylla,30SVH52,"Carlos Salazar-Martín, com.pers."
Sarcocapnos enneaphylla,30SVH82,"Carlos Salazar-Martín, com.pers."
Sarcocapnos pulcherrima,30SVG14,"Carlos Salazar-Martín, com.pers."
Sarcocapnos pulcherrima,30SVG26,"Carlos Salazar-Martín, com.pers."
Sarcocapnos pulcherrima,30SVG37,"Carlos Salazar-Martín, com.pers."
Sarcocapnos pulcherrima,30SVG67,"Carlos Salazar-Martín, com.pers."
Sarcocapnos pulcherrima,30SVG68,"Carlos Salazar-Martín, com.pers."
Sarcocapnos pulcherrima,30SVG78,"Carlos Salazar-Martín, com.pers."
Sempervivum tectorum,30SUF26,"Carlos Salazar-Martín, com.pers."
Sempervivum tectorum,30SVG71,"Carlos Salazar-Martín, com.pers."
Sorbus intermedia,30SVG50,"Carlos Salazar-Martín, com.pers."
Sorbus intermedia,30SVG60,"Carlos Salazar-Martín, com.pers."
Sorbus intermedia,30SVG71,"Carlos Salazar-Martín, com.pers."
Suaeda pruinosa,30SVG88,"Carlos Salazar-Martín, com.pers."
Suaeda pruinosa,30SWG25,"Carlos Salazar-Martín, com.pers."
Suaeda pruinosa,30SWG36,"Carlos Salazar-Martín, com.pers."
Thrincia hispida,30SUH91,"Carlos Salazar-Martín, com.pers."
Thrincia hispida,30SVG07,"Carlos Salazar-Martín, com.pers."
Thrincia hispida,30SVG17,"Carlos Salazar-Martín, com.pers."
Thrincia hispida,30SVG27,"Carlos Salazar-Martín, com.pers."
Thrincia hispida,30SVG28,"Carlos Salazar-Martín, com.pers."
Thrincia hispida,30SVG36,"Carlos Salazar-Martín, com.pers."
Thrincia hispida,30SVG37,"Carlos Salazar-Martín, com.pers."
Thrincia hispida,30SVG45,"Carlos Salazar-Martín, com.pers."
Thrincia hispida,30SVG47,"Carlos Salazar-Martín, com.pers."
Thrincia hispida,30SVG48,"Carlos Salazar-Martín, com.pers."
Thrincia hispida,30SVG79,"Carlos Salazar-Martín, com.pers."
Thrincia hispida,30SVH12,"Carlos Salazar-Martín, com.pers."
Thrincia hispida,30SVH90,"Carlos Salazar-Martín, com.pers."
Thrincia hispida,30SVH92,"Carlos Salazar-Martín, com.pers."
Trifolium micranthum,30SVG60,"Carlos Salazar-Martín, com.pers."
Trifolium micranthum,30SVG70,"Carlos Salazar-Martín, com.pers."
Cirsium valdespinulosum,30SWH10,"Carlos Salazar-Martín, com.pers."
Cirsium valdespinulosum,30SWH00,"Carlos Salazar-Martín, com.pers."
Cirsium valdespinulosum,30SWH69,"Carlos Salazar-Martín, com.pers."
Cirsium valdespinulosum,30SXK91,"Carlos Salazar-Martín, com.pers."
Cirsium valdespinulosum,30SWH20,"Carlos Salazar-Martín, com.pers."
Cirsium valdespinulosum,30SWH12,"Carlos Salazar-Martín, com.pers."
Cirsium valdespinulosum,30SWH11,"Carlos Salazar-Martín, com.pers."
Cirsium valdespinulosum,30SWH14,"Carlos Salazar-Martín, com.pers."
Cirsium valdespinulosum,30SWH13,"Carlos Salazar-Martín, com.pers."
Cirsium valdespinulosum,30SWH45,"Carlos Salazar-Martín, com.pers."
Cirsium valdespinulosum,30SWH33,"Carlos Salazar-Martín, com.pers."
Cirsium valdespinulosum,30SWH36,"Carlos Salazar-Martín, com.pers."
Cirsium valdespinulosum,30SXH11,"Carlos Salazar-Martín, com.pers."
Cirsium valdespinulosum,30SUF69,"Carlos Salazar-Martín, com.pers."
