Taxon,UTM10x10,Notas
Origanum compactum,29SMC85,JPA
Origanum compactum,29SPD30,JPA
Ornithopus sativus isthmocarpus,30TVM73,JPA
Ornithopus sativus isthmocarpus,30TVM83,JPA
Ornithopus sativus isthmocarpus,30TVM93,JPA
Ornithopus sativus isthmocarpus,30TWM01,JPA
Ornithopus sativus isthmocarpus,30TWM02,JPA
Ornithopus sativus isthmocarpus,30TWM11,JPA
Ornithopus sativus isthmocarpus,30TWM13,JPA
Orobanche caryophyllacea,29SQC06,JPA
Orobanche caryophyllacea,30STH42,JPA
Otospermum glabrum,30SWF87,JPA
Petrocoptis pardoi,31TCG66,JPA
Petrocoptis pardoi,31TCG06,JPA
Petrocoptis pardoi,31TCG16,JPA
Petrocoptis pardoi,31TCG05,JPA
Petrocoptis pardoi,31TCG15,JPA
Petrocoptis pardoi,31TCG25,JPA
Petrocoptis pardoi,31TCG24,JPA
Petrocoptis pardoi,31TCG34,JPA
Petrocoptis pardoi,31TBG93,JPA
Petrocoptis pardoi,31TCG23,JPA
Phagnalon sordidum,29SQC43,JPA
Plantago subulata,29TQE16,JPA
Plantago subulata,29TQF21,JPA
Plantago subulata,30SXK40,JPA
Plantago subulata,30SVG60,JPA
Plantago subulata,30SWG13,JPA
Plantago subulata,30SWG19,JPA
Plantago subulata,30TWL60,JPA
Plantago subulata,30TWL50,JPA
Plantago subulata,30TXL28,JPA
Plantago subulata,30TXL21,JPA
Plantago subulata,30TXL23,JPA
Plantago subulata,30TXL22,JPA
Plantago subulata,30TXL54,JPA
Plantago subulata,30TXL53,JPA
Plantago subulata,30TXL56,JPA
Plantago subulata,30TXL55,JPA
Plantago subulata,30TXL43,JPA
Plantago subulata,30TVM78,JPA
Plantago subulata,30TVM77,JPA
Plantago subulata,30TVM92,JPA
Plantago subulata,30TVM95,JPA
Plantago subulata,30TVM94,JPA
Plantago subulata,30TVM97,JPA
Plantago subulata,30TVM32,JPA
Plantago subulata,30TVL95,JPA
Plantago subulata,30TXL09,JPA
Plantago subulata,30TVN22,JPA
Plantago subulata,30TXK44,JPA
Plantago subulata,30TXK45,JPA
Plantago subulata,30TXK77,JPA
Plantago subulata,30TXK09,JPA
Plantago subulata,30TXK33,JPA
Plantago subulata,30TXK34,JPA
Plantago subulata,30TXK28,JPA
Plantago subulata,30TWM82,JPA
Plantago subulata,30TWL44,JPA
Plantago subulata,30TWL09,JPA
Plantago subulata,30TTK86,JPA
Plantago subulata,30TTK77,JPA
Plantago subulata,30TTK76,JPA
Plantago subulata,30TUN76,JPA
Plantago subulata,30TTK66,JPA
Plantago subulata,30TWM42,JPA
Plantago subulata,30TWM44,JPA
Plantago subulata,30TWM34,JPA
Plantago subulata,30TWM33,JPA
Plantago subulata,30TWM68,JPA
Plantago subulata,30TWM67,JPA
Plantago subulata,30TWM53,JPA
Plantago subulata,30TWM56,JPA
Plantago subulata,30TWM04,JPA
Plantago subulata,30TWM01,JPA
Plantago subulata,30TWM24,JPA
Plantago subulata,30TWM23,JPA
Plantago subulata,30TWM22,JPA
Plantago subulata,30TWM14,JPA
Plantago subulata,30TWM13,JPA
Plantago subulata,30TWM15,JPA
Polygonum maritimum,30TWM51,JPA
Polygonum maritimum,30TWL09,JPA
Polygonum maritimum,30TWL67,JPA
Polygonum maritimum,30TWL46,JPA
Polygonum maritimum,30TWL56,JPA
Polygonum maritimum,30TYL34,JPA
Primula elatior intricata,30TTN69,JPA
Primula elatior intricata,30TTN92,JPA
Primula elatior intricata,30TWN91,JPA
Primula elatior intricata,30TXN16,JPA
Primula elatior intricata,30TXN20,JPA
Primula elatior intricata,31TDG64,JPA
Primula elatior intricata,31TDG98,JPA
Pulicaria sicula,30STG82,JPA
Pulicaria sicula,30STG96,JPA
Pulicaria sicula,30SXG08,JPA
Pulicaria sicula,30SXH60,JPA
Pulicaria sicula,30TVL82,JPA
Pulicaria sicula,31TCF26,JPA
Pulicaria vulgaris,30SVF88,JPA
Pulicaria vulgaris,31TBH50,JPA
Ranunculus glacialis,31TDG88,JPA
Hippocrepis scabra,30TWM93,JAM
Juniperus sabina,29SMC85,JAM
Limonium agustebracteatum,30TYM28,JAM
Lonicera arborea,31TBH51,JAM
Medicago laciniata,30TVK48,JAM
Medicago laciniata,30TVK37,JAM
Medicago laciniata,30TVK43,JAM
Medicago laciniata,29SQC33,JAM
Narcissus cuatrecasasii,30SYH58,JAM
Narcissus cuatrecasasii,30SVF88,JAM
Narcissus cuatrecasasii,30SWG00,JAM
Narcissus cuatrecasasii,30SVH65,JAM
Narcissus tortifolius,30SWG75,JAM
Odontites foliosus,29SMC85,JAM
Ophrys atlantica,29SQC43,JAM
Ornithogalum reverchonii,30TTK75,JAM
Paronychia aretioies,29SQD39,JAM
Abies alba,30TTN81,LSG
Abies alba,30TTK55,LSG
Abies alba,29SPD70,LSG
Acer opalus granatense,30TWM38,LSG
Acer platanoides,30TYK18,LSG
Acer platanoides,30TWK73,LSG
Acer platanoides,30SXJ86,LSG
Adenocarpus gibbsianus,30TUK96,LSG
Allium pruinatum,30TUN74,LSG
Angelica razulii,31TDG11,LSG
Angelica razulii,31TDG12,LSG
Angelica razulii,31TDG20,LSG
Angelica razulii,31TDG21,LSG
Angelica razulii,31TDG22,LSG
Angelica razulii,31TDG30,LSG
Angelica razulii,31TDG32,LSG
Angelica razulii,31TDG31,LSG
Angelica razulii,29TQH35,LSG
Angelica razulii,29TQH46,LSG
Angelica razulii,30TTP50,LSG
Angelica razulii,30TTN56,LSG
Angelica razulii,30TTN85,LSG
Angelica razulii,30TTP82,LSG
Angelica razulii,30TUN26,LSG
Angelica razulii,30TUN36,LSG
Angelica razulii,30TUN86,LSG
Angelica razulii,30TVN28,LSG
Anthyllis vulneraria maura,30TVL19,LSG
Anthyllis vulneraria maura,30TVM91,LSG
Anthyllis vulneraria maura,30TVM92,LSG
Anthyllis vulneraria maura,30TWM12,LSG
Anthyllis vulneraria maura,30TWM63,LSG
Anthyllis vulneraria maura,30TWM72,LSG
Anthyllis vulneraria maura,30TWL50,LSG
Anthyllis vulneraria maura,30TWL60,LSG
Antirrhinum majus,29SNB13,LSG
Antirrhinum majus,29SNC14,LSG
Antirrhinum majus,29SNC05,LSG
Antirrhinum majus,29SPC08,LSG
Antirrhinum majus,29SPC95,LSG
Antirrhinum majus,29SPD80,LSG
Antirrhinum majus,30STF77,LSG
Antirrhinum majus,30STF87,LSG
Antirrhinum majus,30SUG84,LSG
Antirrhinum majus,30SVG28,LSG
Antirrhinum majus,30SXJ47,LSG
Antirrhinum majus,30TXK17,LSG
Antirrhinum majus,30TVK29,LSG
Antirrhinum majus,30TWL54,LSG
Antirrhinum majus,30TVL85,LSG
Arenaria algarbiensis,29TPE88,LSG
Armeria macrophylla,30SWG10,LSG
Armeria macrophylla,29SNC23,LSG
Armeria macrophylla,29SNC48,LSG
Asphodelus aestivus ,30SYK51,LSG
Asphodelus aestivus ,30TXK39,LSG
Asphodelus aestivus ,30TXL66,LSG
Asphodelus aestivus ,30TXL55,LSG
Asphodelus aestivus ,30TXM01,LSG
Asphodelus aestivus ,30TWL36,LSG
Asphodelus aestivus ,30TVL77,LSG
Asphodelus aestivus ,30TVL87,LSG
Asphodelus aestivus ,30TVL97,LSG
Asphodelus aestivus ,30TWM30,LSG
Asphodelus aestivus ,30TWM20,LSG
Asphodelus aestivus ,30TWM00,LSG
Asphodelus aestivus ,30TWM01,LSG
Asphodelus aestivus ,30TWM72,LSG
Asphodelus aestivus ,30TWM63,LSG
Asphodelus aestivus ,30TWM73,LSG
Asphodelus aestivus ,30TWM83,LSG
Asphodelus aestivus ,30TWM84,LSG
Asphodelus aestivus ,30TWM33,LSG
Asphodelus aestivus ,30TWM23,LSG
Asphodelus aestivus ,30TWM34,LSG
Asphodelus aestivus ,30TWM44,LSG
Asphodelus aestivus ,30TWM66,LSG
Asphodelus aestivus ,30TWM67,LSG
Asphodelus aestivus ,30TWM48,LSG
Asphodelus aestivus ,30TWM58,LSG
Asphodelus aestivus ,30TWM00,LSG
Asphodelus aestivus ,30TWM01,LSG
Asphodelus aestivus ,30TWM02,LSG
Asphodelus aestivus ,30TVM95,LSG
Asphodelus aestivus ,30TVM85,LSG
Asphodelus aestivus ,30TVM67,LSG
Asphodelus aestivus ,30TWM09,LSG
Asphodelus aestivus ,30TVL35,LSG
Asphodelus aestivus ,30TVL45,LSG
Asteriscus maritimus,30TXL29,LSG
Astragalus depressus,30STJ76,LSG
Atriplex tornabenei,30TXM71,LSG
Atriplex tornabenei,29TNH03,IRG
Buxus sempervirens,29SND48,LSG
Buxus sempervirens,29SPD51,LSG
Buxus sempervirens,29SQD27,LSG
Buxus sempervirens,29TPF98,LSG
Buxus sempervirens,29TNG45,LSG
Buxus sempervirens,29TNG55,LSG
Cachrys sicula,30TXM76,LSG
Centaurea montana,30STJ98,LSL
Centaurea montana,30TWL54,LSL
Centaurea montana,30TXK28,LSL
Centaurea montana,30SWG19,LSL
Centaurea montana,30SWH30,LSL
Centaurium grandiflorum grandiflorum,29TPH31,LSL
Centaurium grandiflorum grandiflorum,29TPH41,LSL
Ceratonia siliqua,29TNG84,LSL
Ceratonia siliqua,29SQE11,LSL
Ceratonia siliqua,30SXJ27,LSL
Ceratophyllum submersum,29TQE17,LSL
Clematis flammula,30TVN41,LSL
Clematis recta,30SYJ00,LSL
Clematis recta,30SYJ17,LSL
Cochlearia pyrenaica,30TXM01,LSL
Colutea arborescens,29SQC26,IRG (ver LSL)
Colutea arborescens,29SQC45,IRG (ver LSL)
Colutea arborescens,29SQC44,IRG (ver LSL)
Colutea arborescens,29SQC43,IRG (ver LSL)
Colutea arborescens,29SQC63,IRG (ver LSL)
Colutea arborescens,30STH33,IRG (ver LSL)
Colutea arborescens,30STH62,IRG (ver LSL)
Colutea arborescens,30TVL86,IRG (ver LSL)
Colutea arborescens,30TVM92,IRG (ver LSL)
Colutea arborescens,30TWN02,IRG (ver LSL)
Colutea arborescens,30TWM59,IRG (ver LSL)
Colutea arborescens,30TWM80,IRG (ver LSL)
Colutea arborescens,30TXM02,IRG (ver LSL)
Conopodium marianum,30TWM11,LSL
Cosentinia vellea,30TXL19,LSL
Cosentinia vellea,30TXL29,LSL
Crepis vesicaria,29SNC44,LSL (C. taraxacifolia)
Crepis vesicaria,29SNC41,LSL (C. taraxacifolia)
Crepis vesicaria,29SNC76,LSL (C. taraxacifolia)
Crepis vesicaria,29SNC75,LSL (C. taraxacifolia)
Crepis vesicaria,29SNC77,LSL (C. taraxacifolia)
Crepis vesicaria,29SNC79,LSL (C. taraxacifolia)
Crepis vesicaria,29SNC72,LSL (C. taraxacifolia)
Crepis vesicaria,29SNC71,LSL (C. taraxacifolia)
Crepis vesicaria,29SNC67,LSL (C. taraxacifolia)
Crepis vesicaria,29SNC66,LSL (C. taraxacifolia)
Crepis vesicaria,29SNC63,LSL (C. taraxacifolia)
Crepis vesicaria,29SNC62,LSL (C. taraxacifolia)
Crepis vesicaria,29SNC12,LSL (C. taraxacifolia)
Crepis vesicaria,29SNC16,LSL (C. taraxacifolia)
Crepis vesicaria,29SNC15,LSL (C. taraxacifolia)
Crepis vesicaria,29SNC06,LSL (C. taraxacifolia)
Crepis vesicaria,29SNC09,LSL (C. taraxacifolia)
Crepis vesicaria,29SNC08,LSL (C. taraxacifolia)
Crepis vesicaria,29SNC31,LSL (C. taraxacifolia)
Crepis vesicaria,29SNC34,LSL (C. taraxacifolia)
Crepis vesicaria,29SNC33,LSL (C. taraxacifolia)
Crepis vesicaria,29SNC36,LSL (C. taraxacifolia)
Crepis vesicaria,29SNC38,LSL (C. taraxacifolia)
Crepis vesicaria,29SNC37,LSL (C. taraxacifolia)
Crepis vesicaria,29SNC29,LSL (C. taraxacifolia)
Crepis vesicaria,29SNC20,LSL (C. taraxacifolia)
Crepis vesicaria,29SNC27,LSL (C. taraxacifolia)
Crepis vesicaria,29SNC26,LSL (C. taraxacifolia)
Crepis vesicaria,29SNC19,LSL (C. taraxacifolia)
Crepis vesicaria,29SQB29,LSL (C. taraxacifolia)
Crepis vesicaria,29SQB19,LSL (C. taraxacifolia)
Crepis vesicaria,29SQB12,LSL (C. taraxacifolia)
Crepis vesicaria,29SQB11,LSL (C. taraxacifolia)
Crepis vesicaria,29SQB49,LSL (C. taraxacifolia)
Crepis vesicaria,29SQB48,LSL (C. taraxacifolia)
Crepis vesicaria,29SQB43,LSL (C. taraxacifolia)
Crepis vesicaria,29SQB39,LSL (C. taraxacifolia)
Crepis vesicaria,29SQB09,LSL (C. taraxacifolia)
Crepis vesicaria,29SNA99,LSL (C. taraxacifolia)
Crepis vesicaria,29SNA89,LSL (C. taraxacifolia)
Crepis vesicaria,29SQB69,LSL (C. taraxacifolia)
Crepis vesicaria,29SQB59,LSL (C. taraxacifolia)
Crepis vesicaria,29SPD80,LSL (C. taraxacifolia)
Crepis vesicaria,29SPD50,LSL (C. taraxacifolia)
Crepis vesicaria,29SPD52,LSL (C. taraxacifolia)
Crepis vesicaria,29SPD44,LSL (C. taraxacifolia)
Crepis vesicaria,29SPD45,LSL (C. taraxacifolia)
Crepis vesicaria,29SPD49,LSL (C. taraxacifolia)
Crepis vesicaria,29SPD40,LSL (C. taraxacifolia)
Crepis vesicaria,29SPD42,LSL (C. taraxacifolia)
Crepis vesicaria,29SPD70,LSL (C. taraxacifolia)
Crepis vesicaria,29SPD60,LSL (C. taraxacifolia)
Crepis vesicaria,29SPD61,LSL (C. taraxacifolia)
Crepis vesicaria,29SPD12,LSL (C. taraxacifolia)
Crepis vesicaria,29SPD15,LSL (C. taraxacifolia)
Crepis vesicaria,29SPD17,LSL (C. taraxacifolia)
Crepis vesicaria,29SPD08,LSL (C. taraxacifolia)
Crepis vesicaria,29SPD32,LSL (C. taraxacifolia)
Crepis vesicaria,29SPD35,LSL (C. taraxacifolia)
Crepis vesicaria,29SPD36,LSL (C. taraxacifolia)
Crepis vesicaria,29SPD29,LSL (C. taraxacifolia)
Crepis vesicaria,29SPD21,LSL (C. taraxacifolia)
Crepis vesicaria,29SPD26,LSL (C. taraxacifolia)
Crepis vesicaria,29SPD27,LSL (C. taraxacifolia)
Crepis vesicaria,29SPD19,LSL (C. taraxacifolia)
Crepis vesicaria,29SPD18,LSL (C. taraxacifolia)
Crepis vesicaria,29SMC86,LSL (C. taraxacifolia)
Crepis vesicaria,29SMC85,LSL (C. taraxacifolia)
Crepis vesicaria,29SMC88,LSL (C. taraxacifolia)
Crepis vesicaria,29SMC87,LSL (C. taraxacifolia)
Crepis vesicaria,29SMC77,LSL (C. taraxacifolia)
Crepis vesicaria,29SMC79,LSL (C. taraxacifolia)
Crepis vesicaria,29SMC78,LSL (C. taraxacifolia)
Crepis vesicaria,29SPE70,LSL (C. taraxacifolia)
Crepis vesicaria,29SPE71,LSL (C. taraxacifolia)
Crepis vesicaria,29SMC97,LSL (C. taraxacifolia)
Crepis vesicaria,29SMC96,LSL (C. taraxacifolia)
Crepis vesicaria,29SMC95,LSL (C. taraxacifolia)
Crepis vesicaria,29SPE82,LSL (C. taraxacifolia)
Crepis vesicaria,29SMC68,LSL (C. taraxacifolia)
Crepis vesicaria,29SPE31,LSL (C. taraxacifolia)
Crepis vesicaria,29SPE30,LSL (C. taraxacifolia)
Crepis vesicaria,29SPE21,LSL (C. taraxacifolia)
Crepis vesicaria,29SPE20,LSL (C. taraxacifolia)
Crepis vesicaria,29SPE50,LSL (C. taraxacifolia)
Crepis vesicaria,29SPE52,LSL (C. taraxacifolia)
Crepis vesicaria,29SPE51,LSL (C. taraxacifolia)
Crepis vesicaria,29SPE41,LSL (C. taraxacifolia)
Crepis vesicaria,29SPE40,LSL (C. taraxacifolia)
Crepis vesicaria,29SPE11,LSL (C. taraxacifolia)
Crepis vesicaria,29SPE00,LSL (C. taraxacifolia)
Crepis vesicaria,29SPE02,LSL (C. taraxacifolia)
Crepis vesicaria,29SPB45,LSL (C. taraxacifolia)
Crepis vesicaria,29SPB49,LSL (C. taraxacifolia)
Crepis vesicaria,29SPB41,LSL (C. taraxacifolia)
Crepis vesicaria,29SPB44,LSL (C. taraxacifolia)
Crepis vesicaria,29SPB79,LSL (C. taraxacifolia)
Crepis vesicaria,29SPB69,LSL (C. taraxacifolia)
Crepis vesicaria,29SPB17,LSL (C. taraxacifolia)
Crepis vesicaria,29SMD96,LSL (C. taraxacifolia)
Crepis vesicaria,29SPB16,LSL (C. taraxacifolia)
Crepis vesicaria,29SPB11,LSL (C. taraxacifolia)
Crepis vesicaria,29SMD90,LSL (C. taraxacifolia)
Crepis vesicaria,29SMD91,LSL (C. taraxacifolia)
Crepis vesicaria,29SMD93,LSL (C. taraxacifolia)
Crepis vesicaria,29SPB02,LSL (C. taraxacifolia)
Crepis vesicaria,29SPB01,LSL (C. taraxacifolia)
Crepis vesicaria,29SPB06,LSL (C. taraxacifolia)
Crepis vesicaria,29SPB05,LSL (C. taraxacifolia)
Crepis vesicaria,29SPB08,LSL (C. taraxacifolia)
Crepis vesicaria,29SPB07,LSL (C. taraxacifolia)
Crepis vesicaria,29SPB34,LSL (C. taraxacifolia)
Crepis vesicaria,29SPB37,LSL (C. taraxacifolia)
Crepis vesicaria,29SPB31,LSL (C. taraxacifolia)
Crepis vesicaria,29SPB33,LSL (C. taraxacifolia)
Crepis vesicaria,29SPB32,LSL (C. taraxacifolia)
Crepis vesicaria,29SPB23,LSL (C. taraxacifolia)
Crepis vesicaria,29SPB26,LSL (C. taraxacifolia)
Crepis vesicaria,29SPB25,LSL (C. taraxacifolia)
Crepis vesicaria,29SPB28,LSL (C. taraxacifolia)
Crepis vesicaria,29SPB29,LSL (C. taraxacifolia)
Crepis vesicaria,29SPB21,LSL (C. taraxacifolia)
Crepis vesicaria,29SMD61,LSL (C. taraxacifolia)
Crepis vesicaria,29SMD85,LSL (C. taraxacifolia)
Crepis vesicaria,29SMD81,LSL (C. taraxacifolia)
Crepis vesicaria,29SMD80,LSL (C. taraxacifolia)
Crepis vesicaria,29SMD70,LSL (C. taraxacifolia)
Crepis vesicaria,29SPB95,LSL (C. taraxacifolia)
Crepis vesicaria,29SPB99,LSL (C. taraxacifolia)
Crepis vesicaria,29SND10,LSL (C. taraxacifolia)
Crepis vesicaria,29SND15,LSL (C. taraxacifolia)
Crepis vesicaria,29SND14,LSL (C. taraxacifolia)
Crepis vesicaria,29SND06,LSL (C. taraxacifolia)
Crepis vesicaria,29SND05,LSL (C. taraxacifolia)
Crepis vesicaria,29SND07,LSL (C. taraxacifolia)
Crepis vesicaria,29SPC72,LSL (C. taraxacifolia)
Crepis vesicaria,29SPC71,LSL (C. taraxacifolia)
Crepis vesicaria,29SND03,LSL (C. taraxacifolia)
Crepis vesicaria,29SPC67,LSL (C. taraxacifolia)
Crepis vesicaria,29SPC61,LSL (C. taraxacifolia)
Crepis vesicaria,29SPC62,LSL (C. taraxacifolia)
Crepis vesicaria,29SPC91,LSL (C. taraxacifolia)
Crepis vesicaria,29SPC94,LSL (C. taraxacifolia)
Crepis vesicaria,29SPC98,LSL (C. taraxacifolia)
Crepis vesicaria,29SPC81,LSL (C. taraxacifolia)
Crepis vesicaria,29SPC82,LSL (C. taraxacifolia)
Crepis vesicaria,29SPC35,LSL (C. taraxacifolia)
Crepis vesicaria,29SPC38,LSL (C. taraxacifolia)
Crepis vesicaria,29SPC37,LSL (C. taraxacifolia)
Crepis vesicaria,29SPC30,LSL (C. taraxacifolia)
Crepis vesicaria,29SPC32,LSL (C. taraxacifolia)
Crepis vesicaria,29SPC22,LSL (C. taraxacifolia)
Crepis vesicaria,29SPC25,LSL (C. taraxacifolia)
Crepis vesicaria,29SPC24,LSL (C. taraxacifolia)
Crepis vesicaria,29SPC26,LSL (C. taraxacifolia)
Crepis vesicaria,29SPC28,LSL (C. taraxacifolia)
Crepis vesicaria,29SND74,LSL (C. taraxacifolia)
Crepis vesicaria,29SND77,LSL (C. taraxacifolia)
Crepis vesicaria,29SND79,LSL (C. taraxacifolia)
Crepis vesicaria,29SND78,LSL (C. taraxacifolia)
Crepis vesicaria,29SPC21,LSL (C. taraxacifolia)
Crepis vesicaria,29SPC20,LSL (C. taraxacifolia)
Crepis vesicaria,29SND71,LSL (C. taraxacifolia)
Crepis vesicaria,29SPC50,LSL (C. taraxacifolia)
Crepis vesicaria,29SPC52,LSL (C. taraxacifolia)
Crepis vesicaria,29SPC51,LSL (C. taraxacifolia)
Crepis vesicaria,29SPC54,LSL (C. taraxacifolia)
Crepis vesicaria,29SPC53,LSL (C. taraxacifolia)
Crepis vesicaria,29SND69,LSL (C. taraxacifolia)
Crepis vesicaria,29SND61,LSL (C. taraxacifolia)
Crepis vesicaria,29SPC45,LSL (C. taraxacifolia)
Crepis vesicaria,29SPC44,LSL (C. taraxacifolia)
Crepis vesicaria,29SPC48,LSL (C. taraxacifolia)
Crepis vesicaria,29SND97,LSL (C. taraxacifolia)
Crepis vesicaria,29SND98,LSL (C. taraxacifolia)
Crepis vesicaria,29SPC41,LSL (C. taraxacifolia)
Crepis vesicaria,29SPC40,LSL (C. taraxacifolia)
Crepis vesicaria,29SPC43,LSL (C. taraxacifolia)
Crepis vesicaria,29SPC42,LSL (C. taraxacifolia)
Crepis vesicaria,29SND88,LSL (C. taraxacifolia)
Crepis vesicaria,29SND87,LSL (C. taraxacifolia)
Crepis vesicaria,29SND80,LSL (C. taraxacifolia)
Crepis vesicaria,29SND81,LSL (C. taraxacifolia)
Crepis vesicaria,29SND30,LSL (C. taraxacifolia)
Crepis vesicaria,29SND36,LSL (C. taraxacifolia)
Crepis vesicaria,29SND27,LSL (C. taraxacifolia)
Crepis vesicaria,29SND20,LSL (C. taraxacifolia)
Crepis vesicaria,29SND17,LSL (C. taraxacifolia)
Crepis vesicaria,29SND19,LSL (C. taraxacifolia)
Crepis vesicaria,29SND49,LSL (C. taraxacifolia)
Crepis vesicaria,29SND47,LSL (C. taraxacifolia)
Crepis vesicaria,29SND38,LSL (C. taraxacifolia)
Crepis vesicaria,29SPC12,LSL (C. taraxacifolia)
Crepis vesicaria,29SPC13,LSL (C. taraxacifolia)
Crepis vesicaria,29SPC16,LSL (C. taraxacifolia)
Crepis vesicaria,29SPC15,LSL (C. taraxacifolia)
Crepis vesicaria,29SPC17,LSL (C. taraxacifolia)
Crepis vesicaria,29SPC10,LSL (C. taraxacifolia)
Crepis vesicaria,29SPC01,LSL (C. taraxacifolia)
Crepis vesicaria,29SPC00,LSL (C. taraxacifolia)
Crepis vesicaria,29SPC03,LSL (C. taraxacifolia)
Crepis vesicaria,29SPC07,LSL (C. taraxacifolia)
Crepis vesicaria,29SNE32,LSL (C. taraxacifolia)
Crepis vesicaria,29SNE21,LSL (C. taraxacifolia)
Crepis vesicaria,29SQC40,LSL (C. taraxacifolia)
Crepis vesicaria,29SQC41,LSL (C. taraxacifolia)
Crepis vesicaria,29SQC44,LSL (C. taraxacifolia)
Crepis vesicaria,29SQC31,LSL (C. taraxacifolia)
Crepis vesicaria,29SQC30,LSL (C. taraxacifolia)
Crepis vesicaria,29SNE91,LSL (C. taraxacifolia)
Crepis vesicaria,29SQC32,LSL (C. taraxacifolia)
Crepis vesicaria,29SQC60,LSL (C. taraxacifolia)
Crepis vesicaria,29SNE81,LSL (C. taraxacifolia)
Crepis vesicaria,29SNE82,LSL (C. taraxacifolia)
Crepis vesicaria,29SQC50,LSL (C. taraxacifolia)
Crepis vesicaria,29SQC52,LSL (C. taraxacifolia)
Crepis vesicaria,29SQC54,LSL (C. taraxacifolia)
Crepis vesicaria,29SQC06,LSL (C. taraxacifolia)
Crepis vesicaria,29SQC00,LSL (C. taraxacifolia)
Crepis vesicaria,29SNE52,LSL (C. taraxacifolia)
Crepis vesicaria,29SNE51,LSL (C. taraxacifolia)
Crepis vesicaria,29SNE50,LSL (C. taraxacifolia)
Crepis vesicaria,29SNE41,LSL (C. taraxacifolia)
Crepis vesicaria,29SNE40,LSL (C. taraxacifolia)
Crepis vesicaria,29SQC26,LSL (C. taraxacifolia)
Crepis vesicaria,29SNE42,LSL (C. taraxacifolia)
Crepis vesicaria,29SQC20,LSL (C. taraxacifolia)
Crepis vesicaria,29SQC21,LSL (C. taraxacifolia)
Crepis vesicaria,29SQC15,LSL (C. taraxacifolia)
Crepis vesicaria,29SQC19,LSL (C. taraxacifolia)
Crepis vesicaria,29SNE70,LSL (C. taraxacifolia)
Crepis vesicaria,29SQC11,LSL (C. taraxacifolia)
Crepis vesicaria,29SNE61,LSL (C. taraxacifolia)
Crepis vesicaria,29SNE60,LSL (C. taraxacifolia)
Crepis vesicaria,29SNB77,LSL (C. taraxacifolia)
Crepis vesicaria,29SNB76,LSL (C. taraxacifolia)
Crepis vesicaria,29SNB78,LSL (C. taraxacifolia)
Crepis vesicaria,29SNB71,LSL (C. taraxacifolia)
Crepis vesicaria,29SNB70,LSL (C. taraxacifolia)
Crepis vesicaria,29SNB73,LSL (C. taraxacifolia)
Crepis vesicaria,29SNB72,LSL (C. taraxacifolia)
Crepis vesicaria,29SNB69,LSL (C. taraxacifolia)
Crepis vesicaria,29SNB91,LSL (C. taraxacifolia)
Crepis vesicaria,29SNB90,LSL (C. taraxacifolia)
Crepis vesicaria,29SNB92,LSL (C. taraxacifolia)
Crepis vesicaria,29SNB95,LSL (C. taraxacifolia)
Crepis vesicaria,29SNB94,LSL (C. taraxacifolia)
Crepis vesicaria,29SNB97,LSL (C. taraxacifolia)
Crepis vesicaria,29SNB96,LSL (C. taraxacifolia)
Crepis vesicaria,29SNB88,LSL (C. taraxacifolia)
Crepis vesicaria,29SNB87,LSL (C. taraxacifolia)
Crepis vesicaria,29SNB82,LSL (C. taraxacifolia)
Crepis vesicaria,29SNB81,LSL (C. taraxacifolia)
Crepis vesicaria,29SNB86,LSL (C. taraxacifolia)
Crepis vesicaria,29SNB33,LSL (C. taraxacifolia)
Crepis vesicaria,29SNB32,LSL (C. taraxacifolia)
Crepis vesicaria,29SNB31,LSL (C. taraxacifolia)
Crepis vesicaria,29SNB30,LSL (C. taraxacifolia)
Crepis vesicaria,29SNB29,LSL (C. taraxacifolia)
Crepis vesicaria,29SNB21,LSL (C. taraxacifolia)
Crepis vesicaria,29SNB23,LSL (C. taraxacifolia)
Crepis vesicaria,29SNB26,LSL (C. taraxacifolia)
Crepis vesicaria,29SNB50,LSL (C. taraxacifolia)
Crepis vesicaria,29SNB52,LSL (C. taraxacifolia)
Crepis vesicaria,29SNB40,LSL (C. taraxacifolia)
Crepis vesicaria,29SNB42,LSL (C. taraxacifolia)
Crepis vesicaria,29SQD20,LSL (C. taraxacifolia)
Crepis vesicaria,29SNB41,LSL (C. taraxacifolia)
Crepis vesicaria,29SQD12,LSL (C. taraxacifolia)
Crepis vesicaria,29SQD44,LSL (C. taraxacifolia)
Crepis vesicaria,29SNB11,LSL (C. taraxacifolia)
Crepis vesicaria,29SNB14,LSL (C. taraxacifolia)
Crepis vesicaria,29SQD30,LSL (C. taraxacifolia)
Crepis vesicaria,29SQD31,LSL (C. taraxacifolia)
Crepis vesicaria,29SNB01,LSL (C. taraxacifolia)
Crepis vesicaria,29SNC97,LSL (C. taraxacifolia)
Crepis vesicaria,29SNC90,LSL (C. taraxacifolia)
Crepis vesicaria,29SNC92,LSL (C. taraxacifolia)
Crepis vesicaria,29SNC91,LSL (C. taraxacifolia)
Crepis vesicaria,29SNC93,LSL (C. taraxacifolia)
Crepis vesicaria,29SNC95,LSL (C. taraxacifolia)
Crepis vesicaria,29SNC87,LSL (C. taraxacifolia)
Crepis vesicaria,29SNC86,LSL (C. taraxacifolia)
Crepis vesicaria,29SNC89,LSL (C. taraxacifolia)
Crepis vesicaria,29SNC81,LSL (C. taraxacifolia)
Crepis vesicaria,29SNC83,LSL (C. taraxacifolia)
