Taxon,UTM10x10,Notas
Narcissus tazetta,30SUG83,CSM
Narcissus tazetta,30STF81,CSM
Abies pinsapo,30TVK09,CSM
Abies pinsapo,30STJ43,CSM
Abies pinsapo,29SPD70,CSM
Abies pinsapo,29SPB99,CSM
Abies pinsapo,30SVF79,CSM
Abies pinsapo,30SVF08,CSM
Antirrhinum majus,30SVG28,CSM
Asphodelus albus albus,30SVG50,CSM
Asphodelus macrocarpus macrocarpus,30SVH85,CSM
Bunium balearicum,30SUH94,CSM
Bunium balearicum,30SWG09,CSM
Ceratonia siliqua,30SVG37,CSM
Ceratonia siliqua,30SVG38,CSM
Christella dentata,30SYH59,CSM
Euphorbia portlandica,30SVG58,CSM
Euphorbia portlandica,30TVN21,CSM
Euphorbia portlandica,30TVN51,CSM
Galium estebanii,30SVG60,CSM
Genista versicolor,30TYN32,CSM
Genista versicolor,30SXJ22,CSM
Genista versicolor,30SXJ23,CSM
Genista versicolor,30SVG67,CSM
Limonium majus,30SYJ07,CSM
Ornithogalum reverchonii,30SWH01,CSM
Ornithogalum reverchonii,30TTK75,CSM
Ornithogalum reverchonii,30SUF96,CSM
Quercus canariensis,30SVG99,CSM
Quercus canariensis,30SWG09,CSM
Quercus canariensis,30TUN24,improbable (CSM rev IRG)
Quercus canariensis,31TBG56,improbable (CSM rev IRG)
Quercus canariensis,29TPG93,improbable (CSM rev IRG)
Quercus canariensis,29TPG11,improbable (CSM rev IRG)
Quercus canariensis,29TPG70,improbable (CSM rev IRG)
Quercus canariensis,29TPG90,improbable (CSM rev IRG)
Quercus canariensis,29TQF09,improbable (CSM rev IRG)
Quercus canariensis,29TPF88,improbable (CSM rev IRG)
Quercus canariensis,29TPF98,improbable (CSM rev IRG)
Quercus canariensis,29TPF77,improbable (CSM rev IRG)
Quercus canariensis,29TPF87,improbable (CSM rev IRG)
Quercus canariensis,29TPF25,improbable (CSM rev IRG)
Quercus canariensis,29TPF15,improbable (CSM rev IRG)
Quercus canariensis,29TPF05,improbable (CSM rev IRG)
Quercus canariensis,29TNF22,improbable (CSM rev IRG)
Quercus canariensis,29TNE24,improbable (CSM rev IRG)
Quercus canariensis,29TNE34,improbable (CSM rev IRG)
Quercus canariensis,29SNE32,improbable (CSM rev IRG)
Quercus canariensis,29SQE51,improbable (CSM rev IRG)
Quercus canariensis,29TNE24,improbable (CSM rev IRG)
Quercus canariensis,29TNE34,improbable (CSM rev IRG)
Quercus canariensis,29SNE32,improbable (CSM rev IRG)
