Taxon,UTM10x10,UTM1x1,Ref
Legousia scabra,30SYH49,---,https://www.doi.org/10.15470/akznrb
Sideritis glauca,30SXH82,30SXH8123,https://www.doi.org/10.15470/akznrb
Teucrium capitatum gracillimum,30SXH93,30SXH9337,https://www.doi.org/10.15470/akznrb
Anarrhinum fruticosum fruticosum,30SXH93,30SXH9337,https://www.doi.org/10.15470/akznrb
Arthrocnemum macrostachyum,30SXH92,30SXH9329,https://www.doi.org/10.15470/akznrb
Helianthemum caput-felis,30SXG99,30SXG9897,https://www.doi.org/10.15470/akznrb
Fumaria gaillardotii,31SBD50,---,https://www.doi.org/10.15470/akznrb
Euphorbia squamigera,31SBC59,---,https://www.doi.org/10.15470/akznrb
Cistus monspeliensis,31SBC49,---,https://www.doi.org/10.15470/akznrb
Asplenium fontanum fontanum,31SBD40,---,https://www.doi.org/10.15470/akznrb
Euphorbia terracina,30SYJ40,---,https://www.doi.org/10.15470/akznrb
Guiraoa arvensis,30SYH35,---,https://www.doi.org/10.15470/akznrb
Genista umbellata umbellata,30SXH74,30SXH7941,https://www.doi.org/10.15470/akznrb
Tamarix boveana,30SYH02,---,https://www.doi.org/10.15470/akznrb
Halopeplis amplexicaulis,30SXH93,30SXH9730,https://www.doi.org/10.15470/akznrb
Brassica tournefortii,30SYH02,30SYH0725,https://www.doi.org/10.15470/akznrb
Centaurea aspera stenophylla,30SYH13,30SYH1734,https://www.doi.org/10.15470/akznrb
Thymus moroderi,30SXH95,---,https://www.doi.org/10.15470/akznrb
Convolvulus valentinus,31SBC58,---,https://www.doi.org/10.15470/akznrb
Limonium furfuraceum,30SYH25,30SYH2159,https://www.doi.org/10.15470/akznrb
Tamarix africana,30SYH06,30SYH0863,https://www.doi.org/10.15470/akznrb
Equisetum ramosissimum,30SYH19,30SYH1497,https://www.doi.org/10.15470/akznrb
Lavandula dentata,31SBC49,---,https://www.doi.org/10.15470/akznrb
Daucus crinitus,31SBC49,---,https://www.doi.org/10.15470/akznrb
Thymus vulgaris aestivus,31SBC49,---,https://www.doi.org/10.15470/akznrb
Sedum album,31SBC49,---,https://www.doi.org/10.15470/akznrb
Senecio vulgaris,31SBC49,---,https://www.doi.org/10.15470/akznrb
Aster sedifolius,31SBC49,---,https://www.doi.org/10.15470/akznrb
Erodium moschatum,31SBC49,---,https://www.doi.org/10.15470/akznrb
Tamarix gallica,30SYH00,30SYH0309,https://www.doi.org/10.15470/akznrb
Urospermum dalechampii,31SBC59,31SBC5198,https://www.doi.org/10.15470/akznrb
Silene colorata,31SBC59,31SBC5699,https://www.doi.org/10.15470/akznrb
Dorycnium hirsutum,31SBC59,31SBC5699,https://www.doi.org/10.15470/akznrb
Galium valentinum,30SYH38,---,https://www.doi.org/10.15470/akznrb
Salsola oppositifolia,30SYH24,30SYH2349,https://www.doi.org/10.15470/akznrb
Teline patens,30SYJ40,---,https://www.doi.org/10.15470/akznrb
Leucanthemum gracilicaule,30SYJ40,---,https://www.doi.org/10.15470/akznrb
Limonium caesium,30SXH93,---,https://www.doi.org/10.15470/akznrb
Thymus membranaceus,30SXH71,---,https://www.doi.org/10.15470/akznrb
